	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
UAGCVT	0.029162	0.012296	0.0086966	0.0010432	0.0010072	0.00097545	0.00037406	0.00036926	0.00036482	0.01668	0.0078543	0.0062111	0.0051526	0.00083526	0.00083382	0.00083367	0.00083374	6.6333e-16	1.9316e-05	1.213e-05	7.1637e-06	6.1485e-06	7.2762e-06	2.7348e-06	2.546e-06	2.6034e-06	1.0859e-08	8.1846e-09	6.0199e-15	3.7438e-05	6.3635e-06	6.0322e-06	5.8751e-06	5.9496e-06
UAGDP	0.082316	0.034748	0.024557	0.0029512	0.0028531	0.0027674	0.0010844	0.0012107	0.0010535	0.047084	0.022171	0.017608	0.014621	0.0024506	0.0023655	0.0024441	0.0024489	1.2066e-15	0.00086115	8.6574e-05	0.00012529	0.00017981	0.00016582	0.00038638	0.0036372	0.00040168	5.0532e-07	4.2238e-08	0.0020552	0.0021544	0.0025363	0.00018867	0.0025348	0.0025377
UAGPT3	0.029162	0.012296	0.0086966	0.0010432	0.0010072	0.00097545	0.00037406	0.00036926	0.00036482	0.01668	0.0078543	0.0062111	0.0051526	0.00083526	0.00083382	0.00083367	0.00083374	6.6265e-16	1.9316e-05	1.213e-05	7.1637e-06	6.1485e-06	7.2762e-06	2.7348e-06	2.546e-06	2.6034e-06	1.0859e-08	8.1846e-09	6.0199e-15	3.7438e-05	6.3635e-06	6.0322e-06	5.8751e-06	5.9496e-06
UAMAGS	0.0095067	0.0036438	0.0046863	0.00046132	0.00038281	0.00037421	0.00011194	0.00011868	0.00012833	0.0085173	0.00092121	0.00036645	0.00053074	0.00015411	4.7861e-05	0.00010446	7.3622e-05	0.013676	0.0056224	0.0043837	0.00051968	0.00049029	0.0012257	0.00093841	0.0004927	0.00081788	0.0083509	0.0026054	0.0014642	0.0016343	0.00032472	0.00050035	0.00027653	0.00051856
UAMAGS2	0.019655	0.0086525	0.0040104	0.0005819	0.00062438	0.00060123	0.00026212	0.00025058	0.00023649	0.0081628	0.0069331	0.0058446	0.0046219	0.00068115	0.00078596	0.0007292	0.00076011	0.013676	0.0056133	0.0043799	0.00051711	0.00048803	0.0012244	0.00093827	0.00049228	0.00081763	0.0083509	0.0026054	0.0014642	0.001629	0.00032365	0.00050026	0.0002758	0.00051812
UAMAS	0.029162	0.012296	0.0086966	0.0010432	0.0010072	0.00097545	0.00037406	0.00036926	0.00036482	0.01668	0.0078543	0.0062111	0.0051526	0.00083526	0.00083382	0.00083367	0.00083374	6.6341e-16	1.9316e-05	1.213e-05	7.1637e-06	6.1485e-06	7.2762e-06	2.7348e-06	2.546e-06	2.6034e-06	1.0859e-08	8.1846e-09	6.0199e-15	3.7438e-05	6.3635e-06	6.0322e-06	5.8751e-06	5.9496e-06
UAPGR	0.029162	0.012296	0.0086966	0.0010432	0.0010072	0.00097545	0.00037406	0.00036926	0.00036482	0.01668	0.0078543	0.0062111	0.0051526	0.00083526	0.00083382	0.00083367	0.00083374	6.634e-16	1.9316e-05	1.213e-05	7.1637e-06	6.1485e-06	7.2762e-06	2.7348e-06	2.546e-06	2.6034e-06	1.0859e-08	8.1846e-09	6.0199e-15	3.7438e-05	6.3635e-06	6.0322e-06	5.8751e-06	5.9496e-06
UDCPDP	0.029162	0.012296	0.0086966	0.0010432	0.0010072	0.00097545	0.00037406	0.00036926	0.00036482	0.01668	0.0078543	0.0062111	0.0051526	0.00083526	0.00083382	0.00083367	0.00083374	6.6265e-16	1.9316e-05	1.213e-05	7.1637e-06	6.1485e-06	7.2762e-06	2.7348e-06	2.546e-06	2.6034e-06	1.0859e-08	8.1846e-09	6.0199e-15	3.7438e-05	6.3635e-06	6.0322e-06	5.8751e-06	5.9496e-06
UDCPDPS	0.00062007	0.00026146	0.00018492	2.2182e-05	2.1416e-05	2.0741e-05	7.9537e-06	7.8517e-06	7.7573e-06	0.00035467	0.00016701	0.00013207	0.00010956	1.776e-05	1.773e-05	1.7726e-05	1.7728e-05	2.4901e-18	4.1071e-07	2.5793e-07	1.5232e-07	1.3074e-07	1.5472e-07	5.815e-08	5.4137e-08	5.5356e-08	2.3091e-10	1.7403e-10	1.2798e-16	7.9605e-07	1.3531e-07	1.2826e-07	1.2492e-07	1.2651e-07
UDPAGACA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDPAMALA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDPG4E	0.040466	0.017063	0.012068	0.0014476	0.0013976	0.0013536	0.00051907	0.00051241	0.00050625	0.023146	0.010899	0.0086189	0.0071501	0.0011591	0.0011571	0.0011568	0.0011569	5.3649e-16	2.6804e-05	1.6833e-05	9.9407e-06	8.532e-06	1.0097e-05	3.7949e-06	3.533e-06	3.6126e-06	1.5069e-08	1.1357e-08	8.3533e-15	5.1951e-05	8.8303e-06	8.3706e-06	8.1526e-06	8.256e-06
UDPGD	0	0	0	0	0	0	0	-6.5052e-22	0	-1.7347e-21	-3.4694e-21	-8.6736e-22	-2.6021e-21	0	0	0	0	0	0	0	0	0	0	0	1.5327e-20	0	3.877e-20	7.754e-20	1.9385e-20	3.3509e-20	0	0	0	0
UDPGDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGLT	0.0053513	0.55088	0.0096568	0.017288	0.015311	0.0043966	0.0071192	0.0039069	0.0056672	-0.0008938	0.0016494	-8.8672e-05	-0.00031474	-0.0001377	0	-6.5457e-05	0.0015756	0.18438	1.4574	0.2175	0.11757	0.28604	0.14987	0.17335	0.12361	0.13816	0.010209	0.049182	0.0012515	0.0072086	0.0014905	0	0.0010534	0.032555
UGMDDS	0.029162	0.012296	0.0086966	0.0010432	0.0010072	0.00097545	0.00037406	0.00036926	0.00036482	0.01668	0.0078543	0.0062111	0.0051526	0.00083526	0.00083382	0.00083367	0.00083374	6.6265e-16	1.9316e-05	1.213e-05	7.1637e-06	6.1485e-06	7.2762e-06	2.7348e-06	2.546e-06	2.6034e-06	1.0859e-08	8.1846e-09	6.0199e-15	3.7438e-05	6.3635e-06	6.0322e-06	5.8751e-06	5.9496e-06
ULA4NFT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UM4PCP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMPK	0.12546	0.052969	0.03756	0.0056883	0.0047673	0.0050981	0.0024492	0.0026815	0.0020583	0.071254	0.033552	0.027392	0.023301	0.0040195	0.0043549	0.0045252	0.0043286	0.014734	0.0040779	0.0032258	0.014725	0.0047183	0.011205	0.0065964	0.012827	0.0047165	1.0265e-05	6.4287e-06	0.0088464	0.012462	0.0050306	0.011014	0.013605	0.0055683
UNDEGLCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPP1S	0.00033277	0.00015364	0.00010093	8.8701e-06	7.9098e-06	9.3359e-06	3.6445e-06	3.7638e-06	3.4573e-06	0.00016718	6.4068e-05	3.7728e-05	3.6558e-05	4.9232e-06	6.224e-06	6.2413e-06	4.3066e-06	0.00031605	0.00013188	9.4144e-05	1.1053e-05	1.0506e-05	1.0517e-05	4.0396e-06	3.999e-06	3.9263e-06	0.0001805	8.2576e-05	6.053e-05	5.2475e-05	8.0586e-06	8.5995e-06	8.6044e-06	7.71e-06
UPP3MT	0.00015753	6.9102e-05	4.3017e-05	7.0179e-06	7.0363e-06	5.8822e-06	2.2643e-06	2.0677e-06	2.3835e-06	0.00010675	4.7369e-05	4.9316e-05	3.5529e-05	4.2385e-06	5.9888e-06	5.966e-06	5.4434e-06	0.00027371	0.00011694	7.9196e-05	1.0476e-05	1.0215e-05	9.4846e-06	3.6419e-06	3.5084e-06	3.6341e-06	0.00016511	7.6376e-05	6.494e-05	5.2058e-05	7.6727e-06	8.5187e-06	8.5054e-06	8.2996e-06
UPP3MT1	0.00033277	0.00015364	0.00010093	8.8701e-06	7.9098e-06	9.3359e-06	3.6445e-06	3.7638e-06	3.4573e-06	0.00016718	6.4068e-05	3.7728e-05	3.6558e-05	4.9232e-06	6.224e-06	6.2413e-06	4.3066e-06	0.00031605	0.00013188	9.4144e-05	1.1053e-05	1.0506e-05	1.0517e-05	4.0396e-06	3.999e-06	3.9263e-06	0.0001805	8.2576e-05	6.053e-05	5.2475e-05	8.0586e-06	8.5995e-06	8.6044e-06	7.71e-06
UPP3S	0.00033076	0.00012614	9.6947e-05	1.4867e-05	1.5007e-05	1.2859e-05	4.8665e-06	4.6381e-06	4.8436e-06	0.00021235	0.00011464	0.0001036	8.0681e-05	1.4082e-05	1.2748e-05	1.2727e-05	1.4664e-05	0.00031605	0.00013191	9.4155e-05	1.1056e-05	1.0507e-05	1.0509e-05	4.0376e-06	4.0017e-06	3.9292e-06	0.0001805	8.2576e-05	6.053e-05	5.2465e-05	8.0723e-06	8.5969e-06	8.6009e-06	7.7061e-06
UPPDC1	3.089e-05	1.3025e-05	9.212e-06	1.105e-06	1.0669e-06	1.0333e-06	3.9623e-07	3.9114e-07	3.8644e-07	1.7669e-05	8.3198e-06	6.5792e-06	5.458e-06	8.8476e-07	8.8323e-07	8.8307e-07	8.8315e-07	7.329e-19	2.046e-08	1.2849e-08	7.5882e-09	6.5129e-09	7.7074e-09	2.8968e-09	2.6969e-09	2.7576e-09	1.1503e-11	8.6697e-12	6.3764e-18	3.9656e-08	6.7406e-09	6.3896e-09	6.2233e-09	6.3022e-09
UPPDC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPPRT	0.00023945	0.00024604	0.00031767	0.00055783	0.00021227	0.0002188	0.00049328	0.00043991	0.00022595	7.1808e-07	6.0863e-07	0.00032844	0.0004458	0.00016748	0.00019382	5.6153e-05	0.00031597	0.0024274	0.0022221	0.0028242	0.0058376	0.0023278	0.0023711	0.0037757	0.004702	0.0022791	1.0135e-05	6.3898e-06	0.0030382	0.0034857	0.0020185	0.0022495	0.00090447	0.0023666
URCN	0	3.0939e-05	3.0699e-05	2.7929e-05	2.3429e-05	4.1584e-05	5.8463e-05	6.2429e-05	4.3582e-05	4.5696e-08	1.8443e-08	3.7411e-05	1.921e-05	3.8038e-05	1.5817e-05	1.3653e-05	1.4927e-05	0	0.00045618	0.00036583	0.0005094	0.00052364	0.00075846	0.00082545	0.0013953	0.00078013	5.4453e-07	2.3751e-07	0.00059063	0.00042934	0.00060053	0.00035349	0.00030513	0.0003336
UREA	0	1.5088e-06	2.8234e-05	6.751e-05	9.4604e-06	0	0.00025654	3.8776e-05	0	1.7952e-08	2.2542e-08	0	0	8.8219e-05	1.9846e-05	0	0	0	3.5195e-05	0.00045924	0.0015949	0.00029916	0	0.0041533	0.00078063	0	4.2296e-07	3.5588e-07	0	0	0.0027897	0.00062757	0	0
URIH	0	0	0	0	0	0.00011345	8.0658e-05	8.0747e-05	0.0001558	0	2.2542e-08	0	0	0.00035288	0.00050833	0.00052826	0	0	0	0	0	0	0.0035877	0.0025506	0.0025535	0.0049269	0	7.1284e-07	0	0	0.011159	0.011362	0.011814	0
URIK1	7.9787e-07	0	9.4069e-06	0	0	6.8365e-06	6.0171e-06	0	3.3761e-06	0	0	0	2.5934e-06	2.7955e-06	0	0	5.4907e-06	1.7849e-05	0	0.00017175	0	0	0.00011543	0.00011024	0	6.2245e-05	0	0	0	4.7778e-05	8.8402e-05	0	0	8.7283e-05
URIK2	2.7326e-06	0	4.0047e-06	5.0708e-07	0	3.1079e-06	1.8969e-05	0	3.3563e-06	0	0	0	0	2.5459e-06	0	0	2.0513e-06	3.2628e-05	0	0.00010516	1.6035e-05	0	7.3627e-05	0.0001992	0	7.6936e-05	0	0	0	0	8.0507e-05	0	0	6.4869e-05
URO	0.0059925	0.0020106	0.00067426	1.6679e-05	0	0.0022606	0	0	7.4313e-05	3.2381e-05	6.8278e-06	1.2738e-05	1.9853e-05	0.0031903	2.7916e-05	0	1.0762e-05	0.005924	0.0029057	0.0021717	0.00030421	0	0.0066386	0	0	0.00088554	0.00040588	0.00021591	0.00028468	0.0004437	0.0045537	0.0006239	0	0.00034032
URO3MET	0.00014234	4.4017e-05	4.4718e-05	6.7438e-06	6.9041e-06	5.9434e-06	2.206e-06	2.1793e-06	2.0737e-06	8.7932e-05	5.8956e-05	4.77e-05	3.9695e-05	8.9585e-06	5.8762e-06	5.8784e-06	8.3372e-06	0.00026431	9.907e-05	8.0276e-05	1.0356e-05	1.0163e-05	9.5121e-06	3.611e-06	3.5672e-06	3.4821e-06	0.00015528	8.1095e-05	6.4468e-05	5.3535e-05	9.0718e-06	8.4731e-06	8.4763e-06	9.0199e-06
VALDHr	0.042277	0.0016826	0.0054653	0.016166	0.016353	0.0095236	0.0080728	0.012933	0.044886	0.0075498	0.060137	0.084569	0.025694	0.019704	0.10189	0.020873	0.097475	0.024083	0.021662	0.033114	0.076524	0.086619	0.075459	0.074123	0.067881	0.1534	0.030548	0.05749	0.060362	0.058834	0.050402	0.093577	0.06012	0.12233
VALTA	0.091093	0.021695	0.017872	0.019358	0.015323	0.018691	0.02763	0.01422	0.066885	0.031671	0.15577	0.10321	0.11847	0.024651	0.11435	0.0097372	0.081834	0.10165	0.045302	0.056842	0.080057	0.076949	0.19825	0.29204	0.1555	0.35127	0.05614	0.17529	0.16099	0.14605	0.068771	0.15958	0.074064	0.17436
VALTRS	0.053854	0.022708	0.01606	0.0019265	0.00186	0.0018014	0.00069079	0.00068193	0.00067373	0.030804	0.014505	0.01147	0.0095156	0.0015425	0.0015398	0.0015396	0.0015397	3.5267e-16	3.5671e-05	2.2402e-05	1.3229e-05	1.1355e-05	1.3437e-05	5.0504e-06	4.7019e-06	4.8077e-06	2.0055e-08	1.5115e-08	1.1116e-14	6.9138e-05	1.1752e-05	1.114e-05	1.085e-05	1.0987e-05
VNDH_2	0	1.8842e-05	1.452e-05	9.4573e-05	6.7404e-05	0.00016016	6.5225e-05	8.7901e-05	4.7647e-05	0	0	0	0	0	0	0	0	0	0.00032941	0.00026484	0.0011692	0.0012294	0.0022531	0.0011897	0.0014579	0.0010649	0	0	0	0	0	0	0	0
VNDH_4	0	2.4006e-05	4.8401e-06	1.5029e-05	3.6311e-05	8.2721e-05	7.2345e-05	2.9579e-05	7.147e-05	2.8723e-08	0	0	0	0	0	0	0	0	0.000379	0.00015306	0.00047525	0.00083416	0.001546	0.0012104	0.00083569	0.0013036	4.5347e-07	0	0	0	0	0	0	0
VPAMTr	-0.0061972	-0.002727	-0.0036951	0.00034789	-0.0030384	0.0040627	0.018047	0.0005881	0.021204	-0.0066825	0.081125	0.007088	0.083096	0.0027921	0.010842	-0.012752	-0.017181	0.098775	0.03642	0.044181	0.042076	0.03222	0.20195	0.29491	0.13271	0.32793	0.049752	0.15331	0.14963	0.1346	0.048111	0.13102	0.058728	0.11738
WCOS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XAND	0	2.2239e-06	3.7656e-05	0.00015786	4.2792e-05	0.00011722	0.00032608	5.1576e-05	0.00011416	2.992e-08	2.2542e-08	2.0037e-05	0.00010325	0.00044769	4.8796e-05	4.8692e-05	0.00024041	0	3.2028e-05	0.00038076	0.0017314	0.00071017	0.0018782	0.0032986	0.00065744	0.0018227	4.2229e-07	2.5114e-07	0.00035604	0.0010841	0.0041292	0.0006892	0.00062722	0.0025445
XPPT	3.5562e-20	-0.00011078	0.00075124	-0.00014945	-0.00042824	-4.0555e-05	-0.0003009	-0.00011649	-0.00017613	9.2873e-05	-9.0326e-05	5.5505e-05	-0.00020841	-0.00028296	-0.0003313	-9.506e-05	-0.00023047	2.4363e-19	0.0010256	0.003273	0.0026803	0.0043671	0.001807	0.0034161	0.0023651	0.0028467	0.0011583	0.0021018	0.0019238	0.0028773	0.0029329	0.0029029	0.0029749	0.0028415
XTSNH	0	0	3.2267e-05	0	0.00030025	0.00015291	0.00021742	0	0.00028744	0	0	0	0	0	0	0	0	0	0	0.0010204	0	0.0054763	0.0048356	0.0048593	0	0.0090898	0	0	0	0	0	0	0	0
XYLI1	-8.7817e-05	-4.1529e-05	0	0	0	3.7444e-05	0	0	-6.7383e-05	-5.8486e-05	-0.015747	-0.013165	-0.0030267	0.0029206	-0.0018371	-0.022555	-0.0001412	0.0019627	0.0013133	0	0	0	0.0011841	0	0	0.0021308	0.0018495	0.025314	0.023294	0.012736	0.010376	0.0090619	0.039714	0.003487
XYLI2	0.12613	0.017344	0.035359	0.014317	0.018637	0.014955	0.010096	0.015415	0.019371	0.020451	0.02258	0.10858	0.044959	0.18623	0.052832	0.097588	0.064834	0.078496	0.048954	0.080189	0.054872	0.072587	0.052234	0.042119	0.054104	0.060187	0.056366	0.041263	0.097985	0.073987	0.092357	0.071244	0.081869	0.081152
XYLK	-0.5494	0.24752	0.21131	-0.085811	0.17225	-0.13818	0.11824	0	-0.12605	-0.019527	29.0572	28.6519	2.1676	-24.6639	-39.1971	2.3034	-12.396	26.5757	7.8272	4.9957	2.7136	4.5568	7.0786	4.6372	1.3013	4.7336	1.0699	50.3996	38.4154	20.2251	40.3559	64.8618	43.4585	32.5792
XYLLAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XYLTO	0.027134	0	0.018344	1.6769e-05	3.258e-05	0.0063393	3.1903e-05	0.00040343	0.0017081	4.937e-05	1.9984e-05	0	0.00056118	0.0054996	0	0.0003425	0.0012523	0.02603	0	0.15758	0.00053027	0.00072814	0.063211	0.000784	0.012758	0.030689	0.0011034	0.00063194	0	0.017746	0.010271	0	0.010831	0.039602
ZCARDS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZCAROTDH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r0120	5.0161e-06	0.00098236	0.00059838	8.2561e-05	8.5432e-05	8.0035e-05	2.8509e-05	2.8208e-05	2.7049e-05	0.00052405	0.00064309	0.00063569	0.00046447	8.4124e-05	6.841e-05	0	6.2554e-05	0.00015862	0.0010067	0.00073323	8.9502e-05	8.6683e-05	8.3851e-05	3.1985e-05	3.1583e-05	3.1096e-05	0.00053705	0.00067508	0.00052472	0.00044293	7.0896e-05	7.1673e-05	0	7.1185e-05
r0163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r0686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r0708	5.0161e-06	0.00098236	0.00059838	8.2561e-05	8.5432e-05	8.0035e-05	2.8509e-05	2.8208e-05	2.7049e-05	0.00052405	0.00064309	0.00063569	0.00046447	8.4124e-05	6.841e-05	0	6.2554e-05	0.00015862	0.0010067	0.00073323	8.9502e-05	8.6683e-05	8.3851e-05	3.1985e-05	3.1583e-05	3.1096e-05	0.00053705	0.00067508	0.00052472	0.00044293	7.0896e-05	7.1673e-05	0	7.1185e-05
r0775	5.0161e-06	0.00098236	0.00059838	8.2561e-05	8.5432e-05	8.0035e-05	2.8509e-05	2.8208e-05	2.7049e-05	0.00052405	0.00064309	0.00063569	0.00046447	8.4124e-05	6.841e-05	0	6.2554e-05	0.00015862	0.0010067	0.00073323	8.9502e-05	8.6683e-05	8.3851e-05	3.1985e-05	3.1583e-05	3.1096e-05	0.00053705	0.00067508	0.00052472	0.00044293	7.0896e-05	7.1673e-05	0	7.1185e-05
r0777	5.0161e-06	0.00098236	0.00059838	8.2561e-05	8.5432e-05	8.0035e-05	2.8509e-05	2.8208e-05	2.7049e-05	0.00052405	0.00064309	0.00063569	0.00046447	8.4124e-05	6.841e-05	0	6.2554e-05	0.00015862	0.0010067	0.00073323	8.9502e-05	8.6683e-05	8.3851e-05	3.1985e-05	3.1583e-05	3.1096e-05	0.00053705	0.00067508	0.00052472	0.00044293	7.0896e-05	7.1673e-05	0	7.1185e-05
ACGApts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARBabc	0	7.8876e-05	3.2267e-05	0	0	0.0012033	0	0.00086758	0.00028744	0	0	0.00027902	0.00020308	0.00035288	0	0.00022122	0	0	0.0024943	0.0010204	0	0	0.019004	0	0.019395	0.0090898	0	0	0.0088233	0.0064221	0.011159	0	0.0069955	0
ARGabc	0.00029439	0	6.4535e-05	0	0	0	0	0	0.00028744	4.7872e-08	0	0	0.00019911	0.00035288	0.000257	0.0002385	0	0.0093093	0	0.0014423	0	0	0	0	0	0.0090898	1.5138e-06	0	0	0.0062964	0.011159	0.0081271	0.007542	0
ASPabc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATPS4r	-0.58812	5.4309	3.6149	5.3176	5.4521	3.4633	3.4368	4.5896	3.465	7.6973	3.6266	5.6103	5.2275	3.368	4.6322	4.1651	3.4256	0.35634	0.025998	0.015059	0.17242	0.13551	0.14347	0.12833	0.12426	0.13693	1.715e-13	7.1284e-07	0.076444	0.09661	0.14218	0.10898	0.10495	0.10152
CA2abc1	0	0	3.2267e-05	0.00097099	3.8665e-05	0.00061079	0.00029011	0.00055661	0.00028744	0	6.7626e-08	0.00036881	0.00019911	0	0.00098476	0	0.0005222	0	0	0.0010204	0.017717	0.0012227	0.013651	0.0091741	0.01244	0.0090898	0	1.2334e-06	0.0082428	0.0062964	0	0.015634	0	0.011671
CD2abc	0.0014418	0	0	0.00052079	0.00051239	0	7.7032e-05	0	0	0	0	0	0.00033185	0	0	0	0	0.026298	0	0	0.016469	0.016203	0	0.002436	0	0	0	0	0	0.010494	0	0	0	0
CELLUL_DEGe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHTNDG	0	0	-5.5511e-20	0	0	-5.5511e-20	0	0	-5.5511e-20	0	0	0	0	0	0	0	0	0	0	1.7554e-18	0	0	1.7554e-18	0	0	1.7554e-18	0	0	0	0	0	0	0	0
COELICHELINabc	0.0011578	0.00018041	0.00019311	0.0016754	0.0018113	0.001921	0.0030992	0.0010424	0.0014372	3.8298e-07	1.5779e-07	0.00077627	0.00058368	0.0024489	0.00045691	0.0010133	0.0012507	0.014163	0.0025616	0.0024868	0.018819	0.019054	0.02372	0.029497	0.012989	0.020285	4.2668e-06	1.8803e-06	0.0098201	0.0084677	0.029189	0.0083517	0.011771	0.01772
CU1abc	0.0009061	6.3388e-05	9.6802e-05	0.00054836	0	0.00061079	0	0.0008861	0.00057487	4.7872e-08	6.7626e-08	0.00085347	0.00033185	0.0010586	0.00079426	0	0	0.020287	0.0020045	0.0017656	0.017341	0	0.013651	0	0.019804	0.012848	1.5138e-06	1.2334e-06	0.015567	0.010494	0.019308	0.017754	0	0
CU2abc	0.00069833	0	3.2267e-05	0.00041205	0.0011968	0.00091618	0.0005802	0	0.00057489	4.7872e-08	4.5084e-08	0	0.00074666	0.0010586	0.00031269	0.00029434	0	0.015617	0	0.0010204	0.01303	0.021846	0.01671	0.012967	0	0.012848	1.5138e-06	1.0076e-06	0	0.013618	0.019308	0.0098881	0.0093079	0
CYO2a	0.02953	0.51587	0.019925	0.58092	0.47162	0.15595	0.093748	0.42038	0.21293	0.10627	0.021424	0.61822	0.4959	0.012579	0.57888	0.60127	0.16471	0.045982	0.011979	0.10193	0.095413	0.25004	0.28586	0.19823	0.20723	0.33561	0.13697	0.1091	0.037231	0.05771	0.086473	0.047889	0.067325	0.14232
CYTBD2	0	0.88677	0.75578	0.017178	0.67955	0.28178	0.031137	0.318	0.34623	0.40041	0.042906	0.40428	0.022231	0.017158	0.15069	0.048649	0.021783	0	0.06389	1.1431	0.0054126	0.80268	0.61044	0.039504	0.57121	0.74371	0.50484	0.24564	0.21414	0.0045903	0.14883	0.268	0.12929	0.16134
FE3abc	0.00071067	0	0	0	0.0002321	0.00061079	0	0	0.00028066	4.7872e-08	0	0.00014541	0.00033241	0.0010586	0.00033661	0.00029449	0	0.012969	0	0	0	0.0073395	0.013651	0	0	0.0088752	1.5138e-06	0	0.0045982	0.0074291	0.019308	0.0075235	0.0066068	0
FEOXAMBabc	0.00020928	6.7813e-05	6.3537e-05	0.00090184	0.00021551	0	0	0.00052763	0.00028742	4.7872e-08	4.5084e-08	0.00025958	0.00054351	0.0010586	0.00046784	0.00014932	0.0005222	0.0066179	0.0015285	0.00142	0.014238	0.0068152	0	0	0.0096235	0.0090891	1.5138e-06	1.0076e-06	0.0058015	0.0085999	0.019308	0.008535	0.004722	0.011671
FRUpts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRUpts2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAMpts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLCpts	1.5981e-06	0	1.6506e-05	0.0001637	1.0171e-06	5.6834e-05	0.0002441	3.4761e-06	1.2663e-05	1.3129e-06	1.8594e-06	1.4878e-06	9.4615e-05	4.0654e-07	4.6498e-07	4.1135e-06	1.8735e-06	5.0537e-05	0	9.9137e-05	0.00026428	2.2731e-05	0.00015971	0.00035353	5.4879e-05	0.00010043	2.3947e-05	2.9356e-05	2.7135e-05	0.00021853	1.2856e-05	1.4704e-05	5.8057e-05	3.4171e-05
GLNabc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUabc	0.00077388	0	3.2267e-05	0.00054251	0.0013274	0.00030539	0	0.00044663	0	4.7872e-08	4.5084e-08	0.00028952	0	0.00035283	0	0.0011429	0.00050669	0.017864	0	0.0010204	0.017156	0.024482	0.0096574	0	0.014124	0	1.5138e-06	1.0076e-06	0.0091556	0	0.011157	0	0.020847	0.011329
Kabc	0	0	0	0	0	0.00030539	0.00029011	0	0	4.7872e-08	0	0.00053741	0.00018876	0	0.00025317	0	0.00026259	0	0	0	0	0	0.0096574	0.0091741	0	0	1.5138e-06	0	0.0098049	0.005969	0	0.0080059	0	0.0082568
LYSabc	0.00099308	5.1539e-05	0	0	0	0	0.00028315	0.0002857	0	0	2.2542e-08	0	0.00010583	0	0	0	0	0.016072	0.0016298	0	0	0	0	0.0089541	0.0090348	0	0	7.1284e-07	0	0.0033468	0	0	0	0
MALTpts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
