	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65
SHSL4rNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_SLD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLDNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLDNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLDNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLDNo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORB6PPNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_SPMS	0.0066411	0.0027987	0.0019794	0.00023693	0.0002289	0.00022141	8.4918e-05	8.3863e-05	8.2836e-05	0.0037986	0.0017887	0.0014145	0.0011698	0.00018955	0.00018931	0.00018931	0.00018931
SPMSNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPMSNo2	0.0066411	0.0027987	0.0019794	0.00023693	0.0002289	0.00022141	8.4918e-05	8.3863e-05	8.2836e-05	0.0037986	0.0017887	0.0014145	0.0011698	0.00018955	0.00018931	0.00018931	0.00018931
arm_SPODM	15.3954	8.0859	3.2921	7.418	6.9891	3.191	3.8476	7.571	2.029	15.7298	1.8793	6.7282	7.6606	1.868	6.8733	6.7046	0.88975
SPODMNo1	15.3954	0	0	0	0	3.191	0	0	2.029	15.7298	1.8793	0	7.6606	1.868	0	6.7046	0
SPODMNo2	0	8.0859	0	0	6.9891	0	0	0	0	0	0	6.7282	0	0	0	0	0.88975
SPODMNo3	0	0	3.2921	7.418	0	0	3.8476	7.571	0	0	0	0	0	0	6.8733	0	0
arm_SPRMS	0.0027765	0.0011701	0.00082754	9.9056e-05	9.5698e-05	9.2567e-05	3.5502e-05	3.5062e-05	3.4632e-05	0.0015881	0.00074782	0.00059136	0.00048905	7.9249e-05	7.9146e-05	7.9146e-05	7.9146e-05
SPRMSNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRMSNo2	0.0027765	0.0011701	0.00082754	9.9056e-05	9.5698e-05	9.2567e-05	3.5502e-05	3.5062e-05	3.4632e-05	0.0015881	0.00074782	0.00059136	0.00048905	7.9249e-05	7.9146e-05	7.9146e-05	7.9146e-05
SQLCYC1No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SQLCYC2No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_SSALx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSALxNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSALxNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSALxNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_SSALy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSALyNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSALyNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSALyNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSBUTDHNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_STACHGALACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STACHGALACTNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STACHGALACTNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STACHGALACTNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_STRP6K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRP6KNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRP6KNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_SUCD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCD9No12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_SUCOAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCOASNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCOASNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_SUCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCRNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCRNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCRNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCRNo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULFPDHNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULR_synNo1	0	0	0.0023685	0	0.00076756	0.00022194	5.9947e-05	0	5.8456e-05	0.025891	0.0057658	0	0	0.00022062	0.0006348	0	0.00021999
SULRiNo1	0	0	0.020829	0	0.0029024	0.0022869	0.00085194	0	0.00083103	0.061319	0.022448	0.013192	0	0.0019885	0.0024004	0	0.0019856
arm_TALA	0.60604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TALANo1	0.60604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TALANo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TALAb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TALAbNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TALAbNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TAUDO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAUDONo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAUDONo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDPNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDPDRENo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDPDRRNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TDPGDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDPGDHNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDPGDHNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGBPANo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THCHDHNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THDPLORNo1	0	0	0	0.088375	0	0	0	0.087196	0	0	0	0	0.085869	0	0.10654	0.11167	0
THDPSNo1	0.051873	0.021861	0.015461	0.0018507	0.0017879	0.0017294	0.00066329	0.00065505	0.00064703	0.029671	0.013971	0.011048	0.0091369	0.0014806	0.0014787	0.0014787	0.0014787
THFATNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THFGLUSNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_THIORDXi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THIORDXiNo9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THPATNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_THRA2i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRA2iNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRA2iNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRA2iNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRA2iNo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_THRAi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRAiNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRAiNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRAiNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRAiNo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRDNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_THRD_L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRD_LNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRD_LNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRD_LNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THRPDCNo1	1.8432e-06	7.7677e-07	5.4937e-07	6.576e-08	6.353e-08	6.1451e-08	2.3569e-08	2.3276e-08	2.2991e-08	1.0543e-06	4.9644e-07	3.9258e-07	3.2466e-07	5.261e-08	5.2542e-08	5.2542e-08	5.2542e-08
arm_THRS	0.06489	0.027347	0.019341	0.0023151	0.0022366	0.0021634	0.00082974	0.00081943	0.00080939	0.037117	0.017477	0.013821	0.01143	0.0018521	0.0018497	0.0018497	0.0018497
THRSNo1	0	0.027347	0	0.0023151	0	0	0	0	0.00080939	0.037117	0.017477	0	0.01143	0.0018521	0.0018497	0	0.0018497
THRSNo2	0.06489	0	0.019341	0	0.0022366	0.0021634	0.00082974	0.00081943	0	0	0	0.013821	0	0	0	0.0018497	0
arm_THRTRS	0.064889	0.027346	0.01934	0.002315	0.0022365	0.0021633	0.00082972	0.00081941	0.00080937	0.037116	0.017477	0.013821	0.011429	0.0018521	0.0018497	0.0018497	0.0018497
THRTRSNo1	0.064889	0.027346	0.01934	0	0.0022365	0.0021633	0	0.00081941	0	0.037116	0.017477	0.013821	0.011429	0.0018521	0.0018497	0.0018497	0.0018497
THRTRSNo2	0	0	0	0.002315	0	0	0.00082972	0	0.00080937	0	0	0	0	0	0	0	0
arm_THYDNAPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THYDNAPSNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THYDNAPSNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THZPSN3No1	5.4835e-06	2.3109e-06	1.6343e-06	1.9563e-07	1.89e-07	1.8281e-07	7.0116e-08	6.9245e-08	6.8397e-08	3.1365e-06	1.4769e-06	1.1679e-06	9.6585e-07	1.5651e-07	1.5631e-07	1.5631e-07	1.5631e-07
arm_TKT1	0.60604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKT1No1	0.60604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKT1No2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKT1No3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TKT2	0.53763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKT2No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKT2No2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKT2No3	0.53763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TKT2h	0	0	0.0063505	0	0	0	0.00027245	0	0	0.012187	0	0	0	0.00060816	0	0	0
TKT2hNo1	0	0	0.0063505	0	0	0	0.00027245	0	0	0	0	0	0	0.00060816	0	0	0
TKT2hNo2	0	0	0	0	0	0	0	0	0	0.012187	0	0	0	0	0	0	0
TKT2hNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMDK1No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMDPPNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMDSfNo1	0.01029	0.0043364	0.0030669	0.00036711	0.00035466	0.00034306	0.00013157	0.00012994	0.00012835	0.0058857	0.0027715	0.0021916	0.0018124	0.0002937	0.00029332	0.00029332	0.00029332
TMPKNo1	5.4835e-06	2.3109e-06	1.6343e-06	1.9563e-07	1.89e-07	1.8281e-07	7.0116e-08	6.9245e-08	6.8397e-08	3.1365e-06	1.4769e-06	1.1679e-06	9.6585e-07	1.5651e-07	1.5631e-07	1.5631e-07	1.5631e-07
TMPPPNo1	5.4835e-06	2.3109e-06	1.6343e-06	1.9563e-07	1.89e-07	1.8281e-07	7.0116e-08	6.9245e-08	6.8397e-08	3.1365e-06	1.4769e-06	1.1679e-06	9.6585e-07	1.5651e-07	1.5631e-07	1.5631e-07	1.5631e-07
arm_TPI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPINo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPINo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TRDR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRDRNo12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TRE6PH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRE6PHNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRE6PHNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRE6PHNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRE6PPNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRE6PSNo1	0.021307	0.0089793	0.0063505	0.00076016	0.00073439	0.00071036	0.00027245	0.00026906	0.00026577	0.012187	0.0057388	0.0045381	0.003753	0.00060816	0.00060737	0.00060737	0.00060737
TRPO2No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPS1No1	0.0079619	0.0033553	0.002373	0.00028405	0.00027442	0.00026544	0.00010181	0.00010054	9.931e-05	0.0045541	0.0021444	0.0016958	0.0014024	0.00022725	0.00022696	0.00022696	0.00022696
TRPS2No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPS3No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TRPTRS	0.0079619	0.0033553	0.002373	0.00028405	0.00027442	0.00026544	0.00010181	0.00010054	9.931e-05	0.0045541	0.0021444	0.0016958	0.0014024	0.00022725	0.00022696	0.00022696	0.00022696
TRPTRSNo1	0	0	0	0	0	0	0	0	0	0.0045541	0	0	0	0	0	0	0
TRPTRSNo2	0.0079619	0.0033553	0.002373	0.00028405	0.00027442	0.00026544	0.00010181	0.00010054	9.931e-05	0	0.0021444	0.0016958	0.0014024	0.00022725	0.00022696	0.00022696	0.00022696
TRSARrNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRYP2MONo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TRYPYRAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRYPYRATNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRYPYRATNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRLNo1	5.4835e-06	2.3109e-06	1.6343e-06	1.9563e-07	1.89e-07	1.8281e-07	7.0116e-08	6.9245e-08	6.8397e-08	3.1365e-06	1.4769e-06	1.1679e-06	9.6585e-07	1.5651e-07	1.5631e-07	1.5631e-07	1.5631e-07
TYRMONo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_TYRTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRTANo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRTANo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRTANo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRTANo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRTANo5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRTRSNo1	0.015897	0.0066994	0.0047381	0.00056715	0.00054793	0.00052999	0.00020327	0.00020075	0.00019829	0.0090929	0.0042817	0.0033859	0.0028001	0.00045374	0.00045315	0.00045315	0.00045315
UAAGDSNo1	0.029162	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
UAAGLS2No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_UAGCVT	0.029162	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
UAGCVTNo1	0.021339	0.004467	0.00086914	0	0	0	0	0	0	0.0088577	3.1836e-05	0	0.0051365	0.00083235	0	0.00083127	0
UAGCVTNo2	0.0078225	0.0078225	0.0078225	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.0078225	0.0078225	0.0062111	0	0	0.00083127	0	0.00083127
UAGDPNo1	0.082316	0.03469	0.024534	0.0029368	0.0028372	0.0027444	0.0010526	0.0010395	0.0010267	0.047084	0.022171	0.017532	0.014499	0.0023495	0.0023465	0.0023465	0.0023465
UAGPT3No1	0.029162	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
UAMAGSNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UAMAGS2No1	0.029162	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
UAMASNo1	0.029162	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
UAPGRNo1	0.029162	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
arm_UDCPDP	0.029162	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
UDCPDPNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDCPDPNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDCPDPNo3	0.029162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDCPDPNo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDCPDPNo5	0	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
UDCPDPNo6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDCPDPNo7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDCPDPSNo1	0.00062007	0.00026131	0.00018481	2.2122e-05	2.1372e-05	2.0673e-05	7.9287e-06	7.8302e-06	7.7343e-06	0.00035467	0.00016701	0.00013207	0.00010922	1.7698e-05	1.7675e-05	1.7675e-05	1.7675e-05
UDPAGACANo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDPAMALANo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_UDPG4E	0.040466	0.017054	0.012061	0.0014437	0.0013948	0.0013491	0.00051744	0.00051101	0.00050475	0.023146	0.010899	0.0086189	0.0071277	0.001155	0.0011535	0.0011535	0.0011535
UDPG4ENo1	0.040466	0	0	0.0014437	0.0013948	0	0	0	0	0.023146	0	0.0086189	0	0.001155	0	0.0011535	0.0011535
UDPG4ENo2	0	0.017054	0	0	0	0	0	0	0.00050475	0	0	0	0	0	0	0	0
UDPG4ENo3	0	0	0.012061	0	0	0.0013491	0.00051744	0.00051101	0	0	0.010899	0	0.0071277	0	0.0011535	0	0
UDPG4ENo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_UDPGD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDPGDNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDPGDNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDPGDCNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGLTNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGMDDSNo1	0.029162	0.012289	0.0086916	0.0010404	0.0010051	0.00097223	0.00037288	0.00036825	0.00036374	0.01668	0.0078543	0.0062111	0.0051365	0.00083235	0.00083127	0.00083127	0.00083127
ULA4NFTNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UM4PCPNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMPKNo1	0.12457	0.052497	0.037128	0.0044443	0.0042936	0.0041531	0.0015929	0.0015731	0.0015538	0.071253	0.033552	0.026532	0.021942	0.0035556	0.003551	0.003551	0.003551
arm_UNDEGLCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNDEGLCTNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNDEGLCTNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNDEGLCTNo3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_UPP1S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPP1SNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPP1SNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_UPP3MT	0.00063263	0.00026661	0.00018856	2.257e-05	2.1805e-05	2.1092e-05	8.0894e-06	7.9889e-06	7.891e-06	0.00036186	0.00017039	0.00013474	0.00011143	1.8057e-05	1.8034e-05	1.8034e-05	1.8034e-05
UPP3MTNo1	0	0	0	2.257e-05	2.1805e-05	2.1092e-05	8.0894e-06	0	7.891e-06	0.00036186	0	0.00013474	0	0	1.8034e-05	1.8034e-05	1.8034e-05
UPP3MTNo2	0.00063263	0.00026661	0.00018856	0	0	0	0	7.9889e-06	0	0	0.00017039	0	0.00011143	1.8057e-05	0	0	0
arm_UPP3MT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPP3MT1No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPP3MT1No2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_UPP3S	0.00066352	0.00027963	0.00019776	2.3672e-05	2.287e-05	2.2121e-05	8.4843e-06	8.379e-06	8.2763e-06	0.00037953	0.00017871	0.00014132	0.00011687	1.8939e-05	1.8914e-05	1.8914e-05	1.8914e-05
UPP3SNo1	0.00066352	0.00027963	0	2.3672e-05	2.287e-05	2.2121e-05	8.4843e-06	0	8.2763e-06	0.00037953	0.00017871	0	0	1.8939e-05	1.8914e-05	1.8914e-05	1.8914e-05
UPP3SNo2	0	0	0.00019776	0	0	0	0	8.379e-06	0	0	0	0.00014132	0.00011687	0	0	0	0
UPPDC1No1	3.089e-05	1.3018e-05	9.2067e-06	1.102e-06	1.0647e-06	1.0298e-06	3.9498e-07	3.9008e-07	3.853e-07	1.7669e-05	8.3198e-06	6.5792e-06	5.4409e-06	8.8168e-07	8.8053e-07	8.8053e-07	8.8053e-07
UPPDC2No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_UPPRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPPRTNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPPRTNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URCNNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_UREA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UREANo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UREANo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URIHNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URIK1No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URIK2No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URONo1	0.011843	0	0	0	0	0	0	0	0	0	0	0	0	0.0096892	0	0	0
arm_URO3MET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URO3METNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URO3METNo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VALDHrNo1	0.055794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_VALTA	0.10965	0.022695	0.016051	0.0019213	0.0018562	0.0017954	0.00068862	0.00068006	0.00067173	0.030804	0.014505	0.01147	0.0094857	0.0015371	0.0015351	0.0015351	0.0015351
