Reaction ID,Reaction name,kegg.reaction,biocyc,kegg.pathway,kegg.subsystem,biocyc.subsystem1,biocyc.subsystem2,subsystem,curated pathway,curated subsystem
HEX1,glucokinase (D-glucose:ATP),R00299,RXN66-521,"Neomycin, kanamycin and gentamicin biosynthesis, Starch and sucrose metabolism, Streptomycin biosynthesis","Carbohydrate metabolism, Biosynthesis of other secondary metabolites",,,Glycolysis/Gluconeogenesis,Starch and sucrose metabolism,Carbohydrate metabolism
HEX4,hexokinase (D-mannose:ATP),R01326,MANNKIN-RXN,"Amino sugar and nucleotide sugar metabolism, Fructose and mannose metabolism",Carbohydrate metabolism,"SUGAR-ALCOHOLS-DEG, CMP-Sugar-Biosynthesis, Energy-Metabolism","Pathways, Sugar-Derivatives, SUGAR-NUCLEOTIDES",Alternate Carbon metabolism,Fructose and mannose metabolism,Carbohydrate metabolism
HEX7,hexokinase (D-fructose:ATP),R00760,,Starch and sucrose metabolism,Carbohydrate metabolism,,,Alternate Carbon metabolism,Starch and sucrose metabolism,Carbohydrate metabolism
HEXHYD,4-hydroxy-2-keto-5-methyl-6-oxo-3-hexenoate hydrolase,,RXN-8824,,,Dinitrotoluene-Degradation,Nitroaromatic-Degradation,,Toluene degradation,Xenobiotics biodegradation and metabolism
HEXTT,trans-hexaprenyltranstransferase,R05612,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins
HGNTOR,"Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)",R02519,HOMOGENTISATE-12-DIOXYGENASE-RXN,"Tyrosine metabolism, Styrene degradation","Xenobiotics biodegradation and metabolism, Amino acid metabolism",TYROSINE-DEG,Proteinogenic-Amino-Acids-Degradation,"Tyrosine, Tryptophan, and Phenylalanine metabolism",Tyrosine metabolism,Amino acid metabolism
HIBD,3-hydroxyisobutyrate dehydrogenase,R05066,,"Valine, leucine and isoleucine degradation",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
HISNH4L,histidase,R01168,,Histidine metabolism,Amino acid metabolism,,,Histidine metabolism,Histidine metabolism,Amino acid metabolism
HISTD,histidinol dehydrogenase,R01158,RXN-8001,,,,,Histidine metabolism,Histidine metabolism,Amino acid metabolism
HISTDa,L-histidinal:NAD+ oxidoreductase,R01163,,Histidine metabolism,Amino acid metabolism,,,Histidine metabolism,Histidine metabolism,Amino acid metabolism
HISTDb,L-Histidinol:NAD+ oxidoreductase,R03012,,Histidine metabolism,Amino acid metabolism,,,Histidine metabolism,Histidine metabolism,Amino acid metabolism
HISTP,histidinol-phosphatase,R03013,HISTIDPHOS-RXN,Histidine metabolism,Amino acid metabolism,HISTIDINE-SYN,IND-AMINO-ACID-SYN,Histidine metabolism,Histidine metabolism,Amino acid metabolism
HISTRS,Histidyl-tRNA synthetase,R03655,,Aminoacyl-tRNA biosynthesis,Other,,,tRNA Charging,tRNA Charging,Biomass and maintenance functions
HKYNH,3-Hydroxy-L-kynurenine hydrolase,R02668,3-HYDROXY-KYNURENINASE-RXN,Tryptophan metabolism,Amino acid metabolism,"Super-Pathways, TRYPTOPHAN-DEG","Proteinogenic-Amino-Acids-Degradation, Pathways","Tyrosine, Tryptophan, and Phenylalanine metabolism",Tryptophan metabolism,Amino acid metabolism
HMBS,hydroxymethylbilane synthase,R00084,,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
HMGL,hydroxymethylglutaryl-CoA lyase,R01360,META:HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,"Butanoate metabolism, Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation","Carbohydrate metabolism, Lipid metabolism, Amino acid metabolism","CARBOXYLATES-DEG, OTHER-ENERGY, LEUCINE-DEG","Proteinogenic-Amino-Acids-Degradation, Energy-Metabolism, Degradation","Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
HMMSHALDs,S-(hydroxymethyl)mycothiol aldolase (spontaneous),R10302,RXN-6581,,,,,,Mycothiol biosynthesis,Metabolism of cofactors and vitamins
HMPK1,hydroxymethylpyrimidine kinase (ATP),R03471,OHMETPYRKIN-RXN,Thiamine metabolism,Metabolism of cofactors and vitamins,"Thiamin-Salvage, Thiamine-Biosynthesis","Vitamin-Biosynthesis, Thiamine-Biosynthesis",Cofactor and Prosthetic Group Biosynthesis,Thiamine metabolism,Metabolism of cofactors and vitamins
HMPK2,hydroxymethylpyrimidine kinase (CTP),,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Thiamine metabolism,Metabolism of cofactors and vitamins
HMPK3,hydroxymethylpyrimidine kinase (UTP),,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Thiamine metabolism,Metabolism of cofactors and vitamins
HMPK4,hydroxymethylpyrimidine kinase (GTP),,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Thiamine metabolism,Metabolism of cofactors and vitamins
HMSD,2-hydroxymuconate 6-semialdehyde dehydrogenase;2-hydroxymuconate-6-semialdehyde dehydrogenase;2-hydroxymuconate semialdehyde dehydrogenase,R02762,RXN-8527,Benzoate degradation,Xenobiotics biodegradation and metabolism,"AROMATIC-COMPOUNDS-DEGRADATION, Catechol-Degradation, Protocatechuate-Degradation","AROMATIC-COMPOUNDS-DEGRADATION, Degradation",,Benzoate degradation,Xenobiotics biodegradation and metabolism
HOPNTAL3,cyclase,R00750,MHPELY-RXN,"Benzoate degradation, Phenylalanine metabolism, Dioxin degradation, Xylene degradation","Xenobiotics biodegradation and metabolism, Amino acid metabolism",,,Alternate Carbon metabolism,Benzoate degradation ,Xenobiotics biodegradation and metabolism
HOXPR2,2-hydroxy-3-oxopropionate reductase,R01747,,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,,,Glyoxylate and dicarboxylate metabolism,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism
HPCOR,unknown enzyme,R04919,,Propanoate metabolism,Carbohydrate metabolism,,,Propanoate metabolism,Propanoate metabolism,Carbohydrate metabolism
HPHL,enoyl-CoA hydratase,R03045,,"Propanoate metabolism, beta-Alanine metabolism, Carbon fixation pathways in prokaryotes","Metabolism of other amino acids, Carbohydrate metabolism",,,Propanoate metabolism,Propanoate metabolism,Carbohydrate metabolism
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,R03503,H2PTERIDINEPYROPHOSPHOKIN-RXN,Folate biosynthesis,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Folate biosynthesis,Metabolism of cofactors and vitamins
HPROb,L-hydroxyproline reductase (NADP),R03293,RXN66-546,Arginine and proline metabolism,Amino acid metabolism,,,Arginine and Proline metabolism,Arginine and proline metabolism,Amino acid metabolism
HPYRI,hydroxypyruvate isomerase,R01394,RXN0-305,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,,,Alternate Carbon metabolism,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism
HPYRRx,hydroxypyruvate reductase;hydroxypyruvate reductase Me (NADH),R01388,HYDROXYPYRUVATE-REDUCTASE-RXN,"Glyoxylate and dicarboxylate metabolism, Methane metabolism, Glycine, serine and threonine metabolism","Amino acid metabolism, Energy metabolism, Carbohydrate metabolism",Formaldehyde-Assimilation,C1-COMPOUNDS,,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism
HPYRRy,hydroxypyruvate reductase;hydroxypyruvate reductase Me (NADPH),R01392,HYDROXYPYRUVATE-REDUCTASE-RXN_NADPH,"Glyoxylate and dicarboxylate metabolism, Glycine, serine and threonine metabolism","Amino acid metabolism, Carbohydrate metabolism",,,,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism
HSDxi,L-Homoserine:NAD+ oxidoreductase,R01773,,"Glycine, serine and threonine metabolism, Lysine biosynthesis, Cysteine and methionine metabolism",Amino acid metabolism,,,Threonine and Lysine metabolism,"Glycine, serine and threonine metabolism",Amino acid metabolism
HSDy,homoserine dehydrogenase (NADPH),R01775,HOMOSERDEHYDROG-RXN,"Glycine, serine and threonine metabolism, Lysine biosynthesis, Cysteine and methionine metabolism",Amino acid metabolism,,,Threonine and Lysine metabolism,"Glycine, serine and threonine metabolism",Amino acid metabolism
HSK,homoserine kinase,R01771,HOMOSERKIN-RXN,"Glycine, serine and threonine metabolism",Amino acid metabolism,"THREONINE-BIOSYNTHESIS, Methionine-De-novo-Biosynthesis","METHIONINE-SYN, IND-AMINO-ACID-SYN",Threonine and Lysine metabolism,"Glycine, serine and threonine metabolism",Amino acid metabolism
HSST,homoserine O-succinyltransferase,R01777,HOMSUCTRAN-RXN,"Sulfur metabolism, Cysteine and methionine metabolism","Energy metabolism, Amino acid metabolism",,,Methionine metabolism,Cysteine and methionine metabolism,Amino acid metabolism
HSTPT,histidinol-phosphate transaminase,R03243,HISTAMINOTRANS-RXN,Histidine metabolism,Amino acid metabolism,HISTIDINE-SYN,IND-AMINO-ACID-SYN,Histidine metabolism,Histidine metabolism,Amino acid metabolism
HURH,5-hydroxyisourate amidohydrolase,R06601,,Purine metabolism,Nucleotide metabolism,,,Purine and pyrimidine biosynthesis,Purine metabolism,Nucleotide metabolism
HXAND,hypoxanthine dehydrogenase,R01768,RXN-7682,Purine metabolism,Nucleotide metabolism,"Adenosine-Nucleotides-Degradation, Fermentation","Purine-Degradation, Energy-Metabolism",Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
HXPRT,hypoxanthine phosphoribosyltransferase (Hypoxanthine),R01132,HYPOXANPRIBOSYLTRAN-RXN,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
I3PYRMO,indole-3-pyruvate monooxygenase,,RXNDQC-2,,,Auxin-Biosynthesis,Plant-Hormone-Biosynthesis,,Tryptophan metabolism,Amino acid metabolism
IACGAMS2,1L-myo-inositol 2-Acetamido-2-deoxy-D-glucopyranoside synthesis (UDP-GlcNAc),,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Mycothiol biosynthesis,Metabolism of cofactors and vitamins
IBCOAQ9R,Butyryl-CoA dehydrogenase,,,,Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
IBCOATA,Isobutiryl-CoA-ACP transacylase,,,,Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
IBTMr,isobutyryl-CoA mutase (irreversible),R01181,ISOBUTYRYL-COA-MUTASE-RXN,,Lipid metabolism,,,Butanoate metabolism,Butanoate metabolism,Lipid metabolism
ICDHyr,isocitrate dehydrogenase (NADP),R00267,,"Glutathione metabolism, Carbon fixation pathways in prokaryotes",Metabolism of other amino acids,,,Citric Acid Cycle,Citric Acid Cycle,Carbohydrate metabolism
ICHORS,isochorismate synthase,R01717,ISOCHORSYN-RXN,"Ubiquinone and other terpenoid-quinone biosynthesis, Biosynthesis of siderophore group nonribosomal peptides","Metabolism of terpenoids and polyketides, Metabolism of cofactors and vitamins","DHNA-Biosynthesis, AROMATIC-COMPOUNDS-BIOSYN, Salicylate-Biosynthesis","Biosynthesis, Quinone-Biosynthesis, AROMATIC-COMPOUNDS-BIOSYN",Cofactor and Prosthetic Group Biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins
ICL,Isocitrate lyase,R00479,,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,,,Anaplerotic Reactions,Citric Acid Cycle,Carbohydrate metabolism
ICYSDS,ISC/NIF Cysteine desulfuration,R07460,,Thiamine metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Thiamine metabolism,Metabolism of cofactors and vitamins
IDOND,L-idonate 5-dehydrogenase,R05683,RXN-12107,,Carbohydrate metabolism,,,Alternate Carbon metabolism,Alternate Carbon metabolism,Carbohydrate metabolism
IDOND2,L-idonate 5-dehydrogenase (NADP),R05684,L-IDONATE-2-DEHYDROGENASE-RXN,,Carbohydrate metabolism,,,Alternate Carbon metabolism,Alternate Carbon metabolism,Carbohydrate metabolism
IDPS2,isopentenyl-diphosphate:ferredoxin oxidoreductase,R05884,ISPH2-RXN,Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides,,,Cofactor and Prosthetic Group Biosynthesis,Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides
IG3PS,Imidazole-glycerol-3-phosphate synthase,R04558,GLUTAMIDOTRANS-RXN,Histidine metabolism,Amino acid metabolism,HISTIDINE-SYN,IND-AMINO-ACID-SYN,Histidine metabolism,Histidine metabolism,Amino acid metabolism
IGAMD,1L-myo-inositol 2-Acetamido-2-deoxy-D-glucopyranoside deacetylase,R09651,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Mycothiol biosynthesis,Metabolism of cofactors and vitamins
IGPDH,imidazoleglycerol-phosphate dehydratase,R03457,IMIDPHOSDEHYD-RXN,Histidine metabolism,Amino acid metabolism,HISTIDINE-SYN,IND-AMINO-ACID-SYN,Histidine metabolism,Histidine metabolism,Amino acid metabolism
IGPS,indole-3-glycerol-phosphate synthase,R03508,IGPSYN-RXN,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,,,"Tyrosine, Tryptophan, and Phenylalanine metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism
ILEDHr,"isoleucine dehydrogenase (NAD, irreversible)",R02196,,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
ILETA,isoleucine transaminase,R02199,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,"Valine, leucine and isoleucine degradation, Glucosinolate biosynthesis, Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
ILETRS,Isoleucyl-tRNA synthetase,R03656,,Aminoacyl-tRNA biosynthesis,Other,,,tRNA Charging,tRNA Charging,Biomass and maintenance functions
IMPC,IMP cyclohydrolase,R01127,IMPCYCLOHYDROLASE-RXN,Purine metabolism,Nucleotide metabolism,,,Purine and pyrimidine biosynthesis,Purine metabolism,Nucleotide metabolism
IMPD,IMP dehydrogenase,R01130,IMP-DEHYDROG-RXN,Purine metabolism,Nucleotide metabolism,"Adenosine-Nucleotides-Degradation, Purine-Degradation, Purine-Ribonuc-De-Novo-Biosynthesis","Purine-Nucleotide-De-Novo-Biosynthesis, NUCLEO-DEG, Purine-Degradation",Purine and pyrimidine biosynthesis,Purine metabolism,Nucleotide metabolism
INS2D,inositol 2-dehydrogenase,R01183,MYO-INOSITOL-2-DEHYDROGENASE-RXN,"Streptomycin biosynthesis, Inositol phosphate metabolism","Carbohydrate metabolism, Biosynthesis of other secondary metabolites",,,Inositol Phosphate metabolism,Inositol phosphate metabolism,Carbohydrate metabolism
INSDH,"inosose 2,3-dehydratase",R02782,,Inositol phosphate metabolism,Carbohydrate metabolism,,,Inositol Phosphate metabolism,Inositol phosphate metabolism,Carbohydrate metabolism
INSH,Inosine hydrolase,R01770,INOSINE-NUCLEOSIDASE-RXN,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
IPAXYL,isoprimeverose alpha-xylosidase,,RXN-12402,,,Glycan-Pathways,Pathways,,,Glycan biosynthesis and metabolism
IPDDI,isopentenyl-diphosphate D-isomerase,R01123,IPPISOM-RXN,Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides,,,Cofactor and Prosthetic Group Biosynthesis,Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),R08209,,,Metabolism of terpenoids and polyketides,,,Cofactor and Prosthetic Group Biosynthesis,,Metabolism of terpenoids and polyketides
IPMD,3-isopropylmalate dehydrogenase,R04426,META:3-ISOPROPYLMALDEHYDROG-RXN,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
IPPMIa,3-isopropylmalate dehydratase,R04001,META:RXN-8991,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,"Energy-Metabolism, LEUCINE-SYN","IND-AMINO-ACID-SYN, Pathways","Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
IPPMIb,2-isopropylmalate hydratase,R03968,META:3-ISOPROPYLMALISOM-RXN,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
IPPS,2-isopropylmalate synthase,R01213,2-ISOPROPYLMALATESYN-RXN,"Pyruvate metabolism, Valine, leucine and isoleucine biosynthesis","Carbohydrate metabolism, Amino acid metabolism","Energy-Metabolism, LEUCINE-SYN","IND-AMINO-ACID-SYN, Pathways","Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
ITPOCL,ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming),R00726,,"Citrate cycle (TCA cycle), Pyruvate metabolism, Glycolysis / Gluconeogenesis",Carbohydrate metabolism,,,Pyruvate metabolism,Pyruvate metabolism,Carbohydrate metabolism
IVCOATA,Isovaleryl-CoA-ACP transacylase,,,,Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
IZPN,imidazolonepropionase,R02288,IMIDAZOLONEPROPIONASE-RXN,Histidine metabolism,Amino acid metabolism,,,Histidine metabolism,Histidine metabolism,Amino acid metabolism
KARA1,"2,3-dihydroxy-isovalerate:NADP+ oxidoreductase (isomerizing);(R)-2,3-dihydroxy-3-methylbutanoate isomeroreductase",R04439,ACETOLACTREDUCTOISOM-RXN,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,"VALINE-BIOSYNTHESIS, Alcohol-Biosynthesis","IND-AMINO-ACID-SYN, Fermentation",,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins
KARA1i,acetohydroxy acid isomeroreductase,R04439,RXN-16061,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,,,,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins
KARA2,ketol-acid reductoisomerase (2-Aceto-2-hydroxybutanoate),,RXN-16062,,Amino acid metabolism,ISOLEUCINE-SYN,IND-AMINO-ACID-SYN,,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins
KARI,(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing),R05069,META:RXN-14106,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
KARI_23dhmb,"(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)",R04440,,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
KARI_23dhmp,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)",R05068,,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
KARI_3hmoa,(S)-2-Acetolactate methylmutase,R05071,META:2-ACETOLACTATE-MUTASE-RXN,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
KAS14,beta-ketoacyl-ACP synthase,R04355,3-OXOACYL-ACP-SYNTH-BASE-RXN,Fatty acid biosynthesis,Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
KAS15,beta-ketoacyl-ACP synthase (2),R10707,2.3.1.180-RXN,Fatty acid biosynthesis,Lipid metabolism,Fatty-acid-biosynthesis,Lipid-Biosynthesis,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
KHK,D-fructose 1-phosphotransferase,R00866,,Fructose and mannose metabolism,Carbohydrate metabolism,,,Alternate Carbon metabolism,Fructose and mannose metabolism,Carbohydrate metabolism
KHK2,ATP:L-xylulose 1-phosphotransferase,R01902,R01902,rn00040,,,,,Fructose and mannose metabolism,Carbohydrate metabolism
KYN,kynureninase,R00987,KYNURENINASE-RXN,Tryptophan metabolism,Amino acid metabolism,,,"Tyrosine, Tryptophan, and Phenylalanine metabolism",Tryptophan metabolism,Amino acid metabolism
LACDHCYT,D-lactate dehydrogenase (cytochrome),R00197,D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN,Pyruvate metabolism,Carbohydrate metabolism,Methylglyoxal-Detoxification,Aldehyde-Degradation,,Pyruvate metabolism,Carbohydrate metabolism
LACZ,b-galactosidase,R01100,,,Carbohydrate metabolism,,,Alternate Carbon metabolism,Alternate Carbon metabolism,Carbohydrate metabolism
LADGMDH,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase,,,,Glycan biosynthesis and metabolism,,,Murein Recycling,Murein Recycling,Glycan biosynthesis and metabolism
LALDD2,methylglyoxal reductase;methylglyoxal reductase (NADH-dependent),R02527,D-LACTALDEHYDE-DEHYDROGENASE-RXN,Pyruvate metabolism,Carbohydrate metabolism,,,,Pyruvate metabolism,Carbohydrate metabolism
LAURAT,lauroyl acyltransferase,R05146,LAUROYLACYLTRAN-RXN,Lipopolysaccharide biosynthesis,Glycan biosynthesis and metabolism,Lipid-Biosynthesis,Biosynthesis,,Lipopolysaccharide biosynthesis,Glycan biosynthesis and metabolism
LCADi,lactaldehyde dehydrogenase,R01446,LACTALDDEHYDROG-RXN,Pyruvate metabolism,Carbohydrate metabolism,,,Alternate Carbon metabolism,Pyruvate metabolism,Carbohydrate metabolism
LCYB,lycopene beta cyclase;gamma-carotene beta-cyclase;gamma-carotene beta- cyclase,R03824,RXN1F-151,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides,C40-Carotenoids-Biosynthesis,CAROTENOID-SYN,,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides
LCYG,lycopene beta cyclase;lycopene beta-cyclase;trans lycopene beta- cyclase;trans -lycopene beta-cyclase,R05341,RXN1F-150,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides,,,,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides
LDH_D,D-lactate dehydrogenase,R00704,DLACTDEHYDROGNAD-RXN,Pyruvate metabolism,Carbohydrate metabolism,"Pyruvate-Degradation, Cell-Wall-Biosynthesis, Fermentation-to-Lactate, Fermentation-to-Acids, ALANINE-DEG, Sugars-And-Polysaccharides-Degradation","Fermentation-to-Acids, Proteinogenic-Amino-Acids-Degradation, Cell-Structure-Biosynthesis, Carbohydrates-Degradation, Fermentation",Pyruvate metabolism,Pyruvate metabolism,Carbohydrate metabolism
LEUTA,leucine transaminase,R01090,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,"Valine, leucine and isoleucine degradation, Glucosinolate biosynthesis, Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
LEUTRS,Leucyl-tRNA synthetase,R03657,,Aminoacyl-tRNA biosynthesis,Other,,,tRNA Charging,tRNA Charging,Biomass and maintenance functions
LFORKYNHYD,L-Formylkynurenine hydrolase,R03936,,Tryptophan metabolism,Amino acid metabolism,,,"Tyrosine, Tryptophan, and Phenylalanine metabolism",Tryptophan metabolism,Amino acid metabolism
LGALACD,L-galactose dehydrogenase,,RXN-15924,,,GALACTOSE-DEGRADATION,Sugars-And-Polysaccharides-Degradation,,Galactose metabolism,Carbohydrate metabolism
LHISTMT,L-histidine Nalpha-methyltransferase,,RXN-14431,,,,,,Ergothioneine biosynthesis,Biosynthesis of other secondary metabolites
LIPAMPL,Lipoyl-adenylate protein ligase,R07771,,Lipoic acid metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Lipoic acid metabolism,Metabolism of cofactors and vitamins
LIPATPT,Lipoate-ATP adenylate transferase,R07770,RXN-8654,Lipoic acid metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Lipoic acid metabolism,Metabolism of cofactors and vitamins
LIPOCT,Lipoyl(octanoyl) transferase,R07766,,Lipoic acid metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Lipoic acid metabolism,Metabolism of cofactors and vitamins
LIPOS,Lipoate synthase,,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Lipoic acid metabolism,Metabolism of cofactors and vitamins
LLEUDr,L-leucine:NAD+ oxidoreductase (deaminating),R01088,,"Valine, leucine and isoleucine biosynthesis, Valine, leucine and isoleucine degradation",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
LLYXDH,L-lyxonate dehydratase,,RXN-15590,,,,,,Alternate Carbon metabolism,Carbohydrate metabolism
LPFPLT,"(2S)-lactyl-2-diphospho-5'-guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin lactylphosphotransferase",R09398,RXN-8078,Methane metabolism,Energy metabolism,Cofactor-Biosynthesis,Biosynthesis,Cofactor and Prosthetic Group Biosynthesis ,Methane metabolism,Energy metabolism
LPPGS,GTP:2-phospho-L-lactate guanylyltransferase,R09397,RXN-8077,Methane metabolism,Energy metabolism,,,Cofactor and Prosthetic Group Biosynthesis ,Methane metabolism,Energy metabolism
LTHRK,threonine-phosphate synthase,R06531,RXN-8626,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Aminopropanol-Phosphate-Biosynthesis,Cobamide-De-Novo-Biosynthesis,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
LYS6MO,L-lysine 6-monooxygenase,R00448,1.14.13.59-RXN,Lysine degradation,Amino acid metabolism,,,,Lysine degradation,Amino acid metabolism
LYSDC,lysine decarboxylase,R00462,LYSDECARBOX-RXN,"Tropane, piperidine and pyridine alkaloid biosynthesis, Lysine degradation",Amino acid metabolism,"Polyamine-Biosynthesis, QUINOLIZIDINE-ALKALOIDS, Siderophores-Biosynthesis, LYSINE-DEG","Proteinogenic-Amino-Acids-Degradation, Biosynthesis, ALKALOIDS-SYN, SECONDARY-METABOLITE-BIOSYNTHESIS",Threonine and Lysine metabolism,Lysine degradation,Amino acid metabolism
LYSTRS,Lysyl-tRNA synthetase,R03658,,Aminoacyl-tRNA biosynthesis,Other,,,tRNA Charging,tRNA Charging,Biomass and maintenance functions
LYXE,D-lyxose ketol-isomerase,,,,Carbohydrate metabolism,,,Pentose and glucuronate interconversions,Pentose and glucuronate interconversions,Carbohydrate metabolism
LYXI,Lyxose isomerase,R01906,,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Alternate Carbon metabolism,Pentose and glucuronate interconversions,Carbohydrate metabolism
LYXID,D-lyxose ketol-isomerase,R01898,,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Pentose and glucuronate interconversions,Pentose and glucuronate interconversions,Carbohydrate metabolism
