iMK1208 ID;iKS1317;Sco4;iAA1259
NTD9e;Identical;Identical;Identical
NTP1;Unequal genes;Identical;Identical
NTP10;Identical;Identical;Identical
NTP3;Unequal genes;Identical;Identical
NTP5;Identical;Identical;Identical
NTPP1;Identical;Identical;Identical
NTPP10;Unequal genes;Identical;Identical
NTPP11;Unequal genes;Identical;Identical
NTPP2;Identical;Identical;Identical
NTPP3;Identical;Identical;Identical
NTPP4;Identical;Identical;Identical
NTPP5;Identical;Identical;Identical
NTPP6;Identical;Identical;Identical
NTPP7;Identical;Identical;Identical
NTPP8;Identical;Identical;Identical
NTPP9;Unequal genes;Identical;Identical
NTPTP1;Identical;Identical;Identical
NTPTP2;Identical;Identical;Identical
PDE1;Identical;Identical;Identical
PDE4;Identical;Identical;Identical
PUNP1;Identical;Identical;Identical
PUNP2;Unequal metabolites;Identical;Identical
PUNP3;Identical;Identical;Identical
PUNP4;Unequal genes;Identical;Identical
PUNP5;Identical;Identical;Identical
PUNP6;Unequal genes;Identical;Identical
PUNP7;Identical;Identical;Identical
RNDR1;Identical;Unequal genes;Unequal genes
RNDR1c;Identical;Identical;Unequal genes
RNDR2;Identical;Unequal genes;Unequal genes
RNDR2c;Identical;Identical;Unequal genes
RNDR3;Identical;Unequal genes;Unequal genes
RNDR3c;Identical;Identical;Unequal genes
RNDR4;Identical;Unequal genes;Unequal genes
RNDR4c;Identical;Identical;Unequal genes
TMDK1;Identical;Identical;Identical
TMDPP;Identical;Identical;Identical
TMDSf;Identical;Identical;Identical
UMPK;Unequal genes;Identical;Identical
UPPRT;Identical;Identical;Identical
XAND;Unequal genes;Identical;Unequal genes
XTSNH;Identical;Identical;Identical
ATPS4r;Unequal genes;Unequal genes;Unequal genes and metabolites
CYO2a;Identical;Unequal genes;Unequal genes and metabolites
CYO2b;Identical;Unequal genes;Unequal genes and metabolites
CYTBD2;Identical;Identical;Missing
FRD8;Identical;Identical;Identical
G3PD6;Identical;Identical;Unequal genes
L__LACD4;Missing;Identical;Unequal genes
NADH10;Unequal genes;Identical;Identical
NADH17;Identical;Unequal genes;Unequal genes
NADTRHD;Identical;Identical;Identical
NTRIR2x;Identical;Identical;Identical
POX3;Identical;Identical;Identical
PPK2r;Identical;Identical;Identical
QMO3;Identical;Unequal genes;Identical
SUCD3;Identical;Unequal genes;Unequal genes
THD2;Identical;Identical;Identical
TRDR;Identical;Unequal genes;Unequal genes
EDA;Identical;Identical;Identical
FBA3;Unequal genes;Identical;Identical
G1DH;Identical;Identical;Identical
G6PDH2;Identical;Identical;Identical
GLNLASE;Identical;Identical;Identical
GND;Unequal bounds;Identical;Identical
GND2;Identical;Identical;Identical
PFK_3;Identical;Identical;Identical
PGL;Identical;Identical;Identical
PKT;Identical;Identical;Identical
RPE;Identical;Identical;Identical
RPI;Identical;Identical;Identical
TALA;Identical;Identical;Identical
TKT1;Identical;Identical;Identical
TKT2;Identical;Identical;Identical
MME;Unequal metabolites;Identical;Identical
MMM;Unequal genes and metabolites;Identical;Identical
MMSAD3;Unequal metabolites;Identical;Identical
MMSAD4;Identical;Identical;Identical
MMSAD5;Unequal metabolites;Identical;Identical
PPCOAC;Unequal metabolites;Unequal genes;Unequal genes
ADSL1r;Identical;Identical;Identical
ADSL2r;Identical;Identical;Identical
ADSS;Identical;Identical;Identical
AICART;Identical;Identical;Identical
AIRCr;Identical;Identical;Identical
ASPCT;Identical;Identical;Identical
CTPS1;Identical;Identical;Identical
CTPS2;Identical;Identical;Identical
DHORD5;Unequal metabolites;Identical;Identical
DHORTS;Unequal metabolites;Identical;Unequal metabolites
GARFT;Identical;Identical;Identical
GLUPRT;Identical;Identical;Identical
GMPS2;Identical;Identical;Identical
IMPC;Identical;Identical;Identical
IMPD;Identical;Identical;Unequal genes
OMPDC;Identical;Identical;Identical
ORPT;Identical;Identical;Unequal metabolites
PRAGSr;Identical;Identical;Identical
PRAIS;Identical;Identical;Identical
PRASCSi;Identical;Identical;Identical
PRFGS;Identical;Identical;Identical
ACKr;Identical;Identical;Identical
ACS;Unequal genes;Identical;Identical
ALCD2x;Unequal genes;Identical;Identical
ALCD2y;Identical;Identical;Identical
LDH_D;Identical;Identical;Identical
PC;Identical;Identical;Identical
PTAr;Identical;Identical;Identical
G3PCT;Identical;Identical;Identical
TAGO;Identical;Identical;Identical
TECA1S;Identical;Identical;Identical
TECA2S;Identical;Identical;Identical
TECA3S;Identical;Identical;Identical
2OXOADOX;Unequal genes;Unequal genes;Unequal genes
AOBUTDs;Identical;Unequal genes;Identical
APTNAT;Identical;Identical;Identical
ASAD;Identical;Identical;Unequal metabolites
ASPK;Identical;Identical;Identical
DAPAT;Identical;Identical;Identical
DAPDC;Unequal genes and metabolites;Identical;Identical
DAPE;Unequal metabolites;Identical;Identical
DHDPRy;Unequal metabolites;Identical;Identical
DHDPS;Unequal metabolites;Identical;Identical
ECOAH1;Identical;Identical;Identical
GLCOAS;Identical;Identical;Identical
GLUTCOADHc;Identical;Identical;Identical
HSDy;Identical;Identical;Unequal metabolites
HSK;Identical;Identical;Identical
LYSDC;Identical;Identical;Identical
OXPTNDH;Unequal genes;Unequal genes;Identical
PPRDNDH;Identical;Identical;Identical
SDPDS;Unequal metabolites;Identical;Identical
SDPTA;Unequal genes;Identical;Identical
THDPS;Identical;Identical;Identical
THRA2i;Identical;Identical;Identical
THRAi;Identical;Identical;Identical
THRS;Identical;Identical;Identical
14GLUCANabc;Identical;Identical;Identical
5DGLCNt2r;Identical;Identical;Identical
5MTRt;Identical;Identical;Identical
ABTabc;Identical;Identical;Identical
ABUTt2;Identical;Identical;Identical
ACALDt;Identical;Unequal genes;Identical
ACGApts;Identical;Identical;Identical
ACSERt;Identical;Identical;Identical
ACt4;Identical;Identical;Identical
ACTt;Identical;Identical;Identical
ADEt2r;Identical;Identical;Identical
ADNt2r;Identical;Identical;Identical
AKGt2r;Identical;Identical;Identical
ALAabc;Identical;Identical;Unequal genes
ALAALAabc;Identical;Identical;Unequal genes
ALAt2r;Identical;Identical;Identical
ALAt4;Identical;Identical;Identical
ALLTNt2r;Identical;Identical;Identical
ARBabc;Identical;Identical;Identical
ARGabc;Identical;Identical;Identical
ARGAGMt7;Identical;Identical;Identical
ARGt3;Identical;Identical;Identical
ASNt2r;Identical;Identical;Identical
ASO3t8;Identical;Identical;Identical
ASPabc;Identical;Identical;Identical
ASPt2;Identical;Identical;Identical
ASPt2_2;Identical;Identical;Identical
BALAt2;Unequal metabolites;Identical;Identical
BHBt;Identical;Identical;Identical
BTNt2i;Identical;Identical;Identical
CADVt;Identical;Identical;Identical
CBIuabc;Identical;Unequal genes;Identical
CBL1abc;Identical;Unequal genes;Identical
CDAabc;Identical;Identical;Unequal genes
CELBabc;Identical;Identical;Unequal genes
CHLabc;Identical;Identical;Unequal genes
CHLt2;Identical;Identical;Identical
CHTBSabc;Identical;Identical;Unequal genes
CITt3;Identical;Identical;Identical
CITt7;Identical;Identical;Identical
CO2t;Identical;Unequal genes;Identical
CSNt2;Identical;Identical;Identical
CSNt2r;Identical;Identical;Identical
CYSabc;Identical;Identical;Identical
CYSabc2;Identical;Identical;Identical
CYSt;Identical;Identical;Identical
CYTDt2r;Identical;Identical;Identical
DADNt2;Unequal metabolites;Identical;Identical
DALAt2;Identical;Identical;Identical
DAPabc;Unequal metabolites;Identical;Identical
DCYTt2;Identical;Identical;Identical
DDGLCNt2r;Identical;Identical;Identical
DGSNt2;Identical;Identical;Identical
DHAt;Identical;Identical;Identical
DINSt2;Identical;Identical;Identical
D__LACt2;Missing;Identical;Identical
DRIBt;Identical;Identical;Identical
DURIt2;Identical;Identical;Identical
EPMt2;Identical;Identical;Identical
ETHAt2;Identical;Identical;Identical
ETOHtr;Identical;Unequal genes;Identical
FALDt;Identical;Unequal genes;Identical
FORti;Identical;Unequal genes;Identical
FRUpts;Identical;Identical;Identical
FUMt2_2;Identical;Identical;Identical
GALCTNt2;Identical;Identical;Identical
GALIt2;Identical;Identical;Identical
GALt4;Identical;Identical;Identical
GGLt2;Identical;Identical;Identical
GLCNt2r;Identical;Identical;Identical
GLCRt2r;Identical;Identical;Identical
GLCt2;Identical;Identical;Identical
GLNabc;Identical;Identical;Identical
GLUabc;Identical;Identical;Identical
GLUt2r;Identical;Identical;Identical
GLYALDt;Identical;Identical;Identical
GLYBabc;Identical;Identical;Unequal genes
GLYBt2;Identical;Identical;Identical
GLYCAt2r;Unequal metabolites;Identical;Identical
GLYCLTt2i;Identical;Identical;Identical
GLYCLTt4;Identical;Identical;Identical
GLYCt;Identical;Identical;Identical
GLYt2r;Identical;Identical;Identical
GLYt4;Identical;Identical;Identical
GSNt2;Identical;Unequal genes;Identical
GUAt;Identical;Identical;Identical
GUAt2;Identical;Identical;Identical
H2O2t;Identical;Unequal genes;Identical
H2Ot;Identical;Unequal genes;Identical
H2St1;Identical;Unequal genes;Identical
HISt2r;Identical;Identical;Identical
HOMt2;Identical;Identical;Identical
IDONt2r;Identical;Identical;Identical
ILEabc;Identical;Identical;Unequal genes
INDOLEt2r;Identical;Identical;Identical
INOSTt4;Identical;Identical;Identical
INSt2r;Identical;Unequal genes;Identical
LALADGLUt;Identical;Identical;Identical
LCTSabc;Identical;Identical;Identical
LEUabc;Identical;Identical;Unequal genes
LIPOt2;Identical;Identical;Identical
L__LACt2r;Missing;Identical;Identical
LYSabc;Identical;Identical;Identical
LYSt2;Identical;Identical;Identical
LYSt3;Identical;Identical;Identical
LYXt2;Identical;Identical;Identical
MALt2_2;Identical;Identical;Identical
MALt3;Identical;Identical;Identical
MALTabc;Identical;Identical;Identical
MALTHXabc;Identical;Identical;Identical
MALTPTabc;Identical;Identical;Identical
MALTTRabc;Identical;Identical;Identical
MALTTTRabc;Identical;Identical;Identical
MANt2;Identical;Identical;Identical
MELIBt2;Identical;Identical;Identical
MELTt2;Identical;Identical;Identical
MEOHtr;Identical;Unequal genes;Identical
METabc;Identical;Identical;Identical
MNLabc;Identical;Identical;Identical
MNt2;Identical;Identical;Identical
N2Ot;Identical;Unequal genes;Identical
NACt;Identical;Identical;Identical
NMNPt;Identical;Identical;Identical
ORNabc;Identical;Identical;Identical
OROTt2_2;Identical;Identical;Identical
PACALDt2r;Identical;Identical;Identical
PHEt2r;Identical;Identical;Identical
PNTOt4;Unequal metabolites;Identical;Identical
PPAt4;Identical;Identical;Identical
PROabc;Identical;Identical;Unequal genes
PROt2r;Identical;Identical;Identical
PROt4;Identical;Identical;Identical
PTRCabc;Identical;Identical;Identical
PTRCt2;Identical;Identical;Identical
PYDAMt;Identical;Identical;Identical
PYDXNt;Identical;Identical;Identical
PYDXt;Identical;Identical;Identical
PYRt2r;Identical;Identical;Identical
RAFt2;Identical;Identical;Identical
RIBabc;Identical;Identical;Unequal genes
RMNabc;Identical;Identical;Identical
SALCpts;Identical;Identical;Identical
SBTabc;Identical;Identical;Identical
SERt2r;Identical;Identical;Identical
SKMt2;Identical;Identical;Identical
SPMDabc;Identical;Identical;Identical
SPMDt3;Identical;Identical;Identical
SUCCt2_2;Identical;Identical;Identical
TARTt2_3;Identical;Identical;Identical
TAURabc;Identical;Identical;Identical
THMabc;Identical;Identical;Identical
THMDt2r;Identical;Identical;Identical
THRabc;Identical;Identical;Unequal genes
THRt2;Identical;Identical;Identical
THYMt3r;Identical;Identical;Identical
TREabc;Identical;Identical;Unequal genes
TRPt2r;Identical;Identical;Identical
TYRt2r;Identical;Identical;Identical
URAt2r;Identical;Identical;Identical
UREAt;Identical;Identical;Identical
URIt2r;Identical;Identical;Identical
VALabc;Identical;Identical;Unequal genes
VANK;Identical;Identical;Identical
XANt2;Identical;Identical;Identical
XTSNt2r;Identical;Identical;Identical
XYLabc;Identical;Identical;Identical
XYLTabc;Identical;Identical;Identical
ALATRS;Identical;Identical;Identical
ARGTRS;Identical;Identical;Identical
ASNTRS;Identical;Identical;Identical
ASPTRS;Identical;Identical;Identical
CYSTRS;Identical;Identical;Identical
FMETTRS;Unequal genes;Identical;Identical
GLNTRS;Identical;Unequal genes;Identical
GLYTRS;Identical;Identical;Identical
HISTRS;Identical;Identical;Identical
ILETRS;Identical;Identical;Identical
LEUTRS;Identical;Identical;Identical
LYSTRS;Identical;Identical;Identical
METTRS;Identical;Identical;Identical
PHETRS;Identical;Identical;Identical
PROTRS;Identical;Identical;Identical
SERTRS;Identical;Identical;Identical
THRTRS;Identical;Identical;Identical
TRPTRS;Identical;Identical;Identical
TYRTRS;Identical;Identical;Identical
VALTRS;Identical;Identical;Identical
34HPPOR;Identical;Identical;Identical
ANPRT;Identical;Identical;Identical
ANS;Identical;Identical;Unequal genes
CHORM;Unequal genes;Identical;Identical
CHORS;Identical;Identical;Identical
DDPA;Identical;Identical;Identical
DHQS;Identical;Identical;Identical
DHQTi;Identical;Identical;Identical
FANH;Identical;Identical;Identical
FKYNH;Identical;Identical;Identical
FUMAC;Identical;Identical;Identical
HGNTOR;Identical;Identical;Identical
HKYNH;Identical;Identical;Identical
IGPS;Identical;Identical;Identical
KYN;Identical;Identical;Identical
LFORKYNHYD;Identical;Identical;Identical
MACACI;Identical;Identical;Identical
PEAMNO;Identical;Identical;Identical
PHETA1;Identical;Identical;Identical
PHYCBOXL;Identical;Identical;Identical
PPND;Identical;Identical;Identical
PPNDH;Identical;Identical;Identical
PRAIi;Identical;Identical;Identical
PSCVT;Identical;Identical;Identical
SHK3Dr;Identical;Identical;Identical
SHKK;Identical;Identical;Identical
TRPO2;Identical;Identical;Identical
TRPS1;Identical;Identical;Identical
TRPS2;Identical;Identical;Identical
TRPS3;Identical;Identical;Identical
TYRTA;Identical;Identical;Identical
ACONIs;Unequal metabolites;Unequal genes;Identical
ACONMT;Unequal metabolites;Identical;Identical
ATPM;Identical;Identical;Unequal bounds
BETALDHx;Unequal genes;Identical;Identical
BETALDHy;Unequal genes;Identical;Identical
CAT;Identical;Identical;Unequal genes
CCCR;Unequal metabolites;Identical;Identical
CHOLD;Unequal genes;Identical;Identical
EMCCCM;Unequal metabolites;Identical;Identical
EME;Unequal metabolites;Identical;Identical
GTHPi;Identical;Identical;Identical
HCO3E;Identical;Identical;Identical
PRDX;Identical;Identical;Identical
SPODM;Identical;Identical;Identical
THIORDXi;Identical;Unequal genes;Unequal genes
URIC;Missing;Identical;Identical
REDS1;Identical;Identical;Identical
REDS10;Identical;Identical;Identical
REDS11;Unequal genes;Identical;Unequal genes
REDS12;Identical;Identical;Identical
REDS13x;Identical;Identical;Identical
REDS13y;Identical;Identical;Identical
REDS14;Identical;Identical;Identical
REDS15;Unequal genes;Identical;Unequal genes
REDS16;Identical;Identical;Identical
REDS17x;Identical;Identical;Identical
REDS17y;Identical;Identical;Identical
REDS18;Identical;Identical;Identical
REDS19;Unequal genes;Identical;Unequal genes
REDS2;Identical;Identical;Identical
REDS20;Identical;Identical;Identical
REDS21x;Identical;Identical;Identical
REDS21y;Identical;Identical;Identical
REDS22;Identical;Identical;Identical
REDS23;Identical;Identical;Identical
REDS24;Identical;Identical;Identical
REDS25;Identical;Identical;Identical
REDS26;Identical;Identical;Identical
REDS27;Identical;Identical;Identical
REDS28;Identical;Identical;Identical
REDS29;Identical;Identical;Identical
REDS3;Unequal genes;Identical;Unequal genes
REDS30;Identical;Identical;Identical
REDS31;Identical;Identical;Identical
REDS32;Identical;Identical;Identical
REDS33;Identical;Identical;Identical
REDS34;Identical;Identical;Identical
REDS35;Identical;Identical;Identical
REDS36;Identical;Identical;Identical
REDS37;Identical;Identical;Identical
REDS4;Identical;Identical;Identical
REDS5x;Identical;Identical;Identical
REDS5y;Identical;Identical;Identical
REDS6;Identical;Identical;Identical
REDS7;Unequal genes;Identical;Unequal genes
REDS8;Identical;Identical;Identical
REDS9x;Identical;Identical;Identical
REDS9y;Identical;Identical;Identical
3HBCOAHL;Unequal bounds and metabolites;Identical;Identical
ACACT10r;Unequal genes;Identical;Identical
ACHBS;Unequal genes;Identical;Unequal genes
ACLS;Unequal genes and metabolites;Identical;Unequal genes
ACOAD8;Unequal genes;Identical;Identical
ACOAD9;Identical;Identical;Identical
ACOADH1;Identical;Identical;Identical
DHAD1;Identical;Identical;Identical
DHAD2;Identical;Identical;Identical
ECOAH12;Unequal genes;Identical;Identical
ECOAH9ir;Unequal genes;Identical;Identical
HACD9;Identical;Identical;Identical
HIBD;Unequal metabolites;Identical;Identical
HMGL;Identical;Identical;Identical
ILEDxi;Identical;Identical;Identical
ILETA;Unequal bounds;Identical;Identical
IPMD;Identical;Identical;Identical
IPPMIa;Identical;Identical;Unequal metabolites
IPPMIb;Identical;Identical;Identical
IPPS;Unequal metabolites;Identical;Identical
KARA1i;Unequal metabolites;Identical;Identical
KARA2i;Identical;Identical;Identical
LEUTA;Unequal bounds;Identical;Unequal metabolites
MCCC;Identical;Identical;Identical
MGCH;Identical;Identical;Identical
OCOAT1;Identical;Identical;Identical
OIVD1;Identical;Unequal genes;Unequal genes
OIVD2;Identical;Unequal genes;Unequal genes
OIVD3;Identical;Unequal genes;Unequal genes
OMCDC;Unequal genes;Unequal genes;Identical
THRD_L;Unequal genes;Identical;Identical
VALDxi;Identical;Identical;Identical
VALTA;Unequal bounds;Identical;Identical
