"Rxn","Rxn Name","Rxn KEGG ID","Reversibility in model","Reversibility in MetaCyc"
"AHCi","adenosylhomocysteinase","R00192","reversible","Irreversible "
"AHSERL2","O-acetylhomoserine (thiol)-lyase","R01287","reversible","Reversible "
"CYSTL","cystathionine b-lyase","R01286","forward only"," "
"HCYSMT","homocysteine S-methyltransferase","R00650","forward only","Irreversible "
"HSST","homoserine O-succinyltransferase","R01777","forward only","Irreversible "
"METAT","methionine adenosyltransferase","R00177","forward only","Irreversible "
"METB1","cystathionine gamma-synthase","R03217","reversible"," "
"METOX1s","methionine oxidation (spontaneous)","","forward only"," "
"METOX2s","methionine oxidation 2 (spontaneous)","","forward only"," "
"METS","methionine synthase","R00946","forward only","Irreversible "
"METSOXR1","L-methionine-S-oxide reductase","R02025","forward only"," "
"METSOXR2","L-methionine-R-sulfoxide reductase","R07608","forward only","Irreversible "
"MHPGLUT","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase","R04405","forward only","Reversible "
"MTAP","5-methylthioadenosine phosphorylase","R01402","forward only"," "
"MTRI","5-methylthioribose-1-phosphate isomerase","R04420","reversible","Irreversible "
"SHSL1","O-succinylhomoserine lyase (L-cysteine)","R03260","forward only","Reversible "
"SHSL2","O-succinylhomoserine lyase (H2S)","R01288","forward only","Reversible "
"SHSL4r","O-succinylhomoserine lyase (elimination)","R00999","forward only","Irreversible "
"SPMS","spermidine synthase","R01920","forward only","Reversible "
"SPRMS","spermine synthase","R02869","forward only","Irreversible "
"MCTP1A","murein crosslinking transpeptidase 1A:(A2pm->D-ala)","","forward only"," "
"MCTP1B","murein crosslinking transpeptidase 1B:(A2pm->A2pm)","","forward only",""
"MCTP2A","murein crosslinking transpeptidase 1A:(A2pm->D-ala)","","forward only",""
"MDDCP1","murein D,D-carboxypeptidase (murein5px4p)","","forward only",""
"MDDCP2","murein D,D-carboxypeptidase (murein5px4px4p)","","forward only",""
"MDDCP3","murein D,D-carboxypeptidase (murein5p5p)","","forward only",""
"MDDCP4","murein D,D-carboxypeptidase (murein5p4p)","","forward only",""
"MDDCP5","murein D,D-carboxypeptidase (murein5p3p)","","forward only",""
"MPTG","murein polymerizing transglycosylase","","forward only"," "
"MPTG2","murein polymerizing transglycosylase 2 (three linked units)","","forward only"," "
"4PCP","tetrapeptide L,D-carboxypeptidase","","forward only"," "
"ACGAMK","N-acetylglucosamine kinase","R01201","forward only","Irreversible "
"AGM4PCP","N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase","","forward only"," "
"AM4PCP","anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase","","forward only"," "
"ANHMK","1,6-anhydrous-N-Acetylmuramate kinase","","forward only"," "
"LADGMDH","L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase","","forward only"," "
"MDDEP1","murein D,D-endopeptidase (murein4px4p)","","forward only"," "
"MDDEP2","murein D,D-endopeptidase (murein3px4p)","","forward only"," "
"MDDEP3","murein D,D-endopeptidase (murein5px4p)","","forward only"," "
"MDDEP4","murein D,D-endopeptidase (murein4px4px4p)","","forward only"," "
"UM4PCP","UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase","","forward only"," "
"ATAH","allantoicase","R02422","forward only","Irreversible "
"ALLTN","allantoinase","R02425","forward only","Irreversible "
"NO3R2","Nitrate reductase (menaquinol-9)","","forward only"," "
"NODOx","nitric oxide dioxygenase","R05724","forward only","Irreversible "
"NODOy","nitric oxide dioxygenase","R05725","forward only","Irreversible "
"UGLYCH","Ureidoglycolate hydrolase","R00469","forward only","Irreversible "
"23PDE2e","2,3-cyclic-nucleotide phosphodiesterase (UMP)","R03538","forward only","Irreversible "
"23PDE4e","2,3-cyclic-nucleotide phosphodiesterase (CMP)","R03929","forward only","Irreversible "
"23PDE7e","2,3-cyclic-nucleotide phosphodiesterase (AMP)","R03537","forward only","Irreversible "
"23PDE9e","2,3-cyclic-nucleotide phosphodiesterase (GMP)","R05135","forward only","Irreversible "
"3NTD2e","3-nucleotidase (UMP)","R01877","forward only","Irreversible "
"3NTD4e","3-nucleotidase (CMP)","R02370","forward only","Irreversible "
"3NTD7e","3-nucleotidase (AMP)","R01562","forward only","Irreversible "
"3NTD9e","3-nucleotidase (GMP)","R02148","forward only","Irreversible "
"ADA","Adenosine deaminase","R01560","forward only","Irreversible "
"ADK1","adenylate kinase","R00127","reversible","Reversible "
"ADK2","adenylate kinase (Inorganic triphosphate, irreversible)","","forward only"," "
"ADK3","adentylate kinase (GTP, irreversible)","","forward only"," "
"ADK4","adentylate kinase (ITP, irreversible)","","forward only"," "
"ADNCYC","adenylate cyclase","R00089","forward only","Irreversible "
"ADNK1","adenosine kinase","R00185","forward only","Irreversible "
"ADPRDP","ADPribose diphosphatase","R01054","forward only","Irreversible "
"ADPT","adenine phosphoribosyltransferase","R00190","forward only","Irreversible "
"ATPHs","ATP amine hydrolysis (spontaneous)","R00088","forward only"," "
"CSND","Cytosine deaminase","R00974","forward only","Irreversible "
"CYTD","cytidine deaminase","R01878","forward only","Irreversible "
"CYTK1","cytidylate kinase (CMP)","R00512","reversible","Reversible "
"CYTK2","cytidylate kinase (dCMP)","R01665","reversible","Irreversible "
"DADA","Deoxyadenosine deaminase","R02556","forward only","Irreversible "
"DADK","deoxyadenylate kinase","R01547","reversible","Irreversible "
"DATPHs","dATP amine hydrolysis (spontaneous)","","forward only"," "
"DCTPD","dCTP deaminase","R02325","forward only","Irreversible "
"DCTPD2","dCTP deaminase","R00568","forward only","Irreversible "
"DCYTD","deoxycytidine deaminase","R02485","forward only","Irreversible "
"DGK1","deoxyguanylate kinase (dGMP:ATP)","R02090","reversible","Reversible "
"DTMPK","dTMP kinase","R02094","reversible","Irreversible "
"DURIK1","deoxyuridine kinase (ATP:Deoxyuridine)","R02099","forward only","Irreversible "
"DURIPP","deoxyuridine phosphorylase","R02484","reversible","Reversible "
"DUTPDP","dUTP diphosphatase","R02100","forward only","Irreversible "
"GK1i","guanylate kinase (GMP:ATP, irreversible)","R00332","forward only","Reversible "
"GK2i","guanylate kinase (GMP:dATP, irreversible)","","forward only"," "
"GTPHs","GTP amine hydrolysis (spontaneous)","","forward only"," "
"GUACYC","guanylate cyclase","R00434","forward only","Irreversible "
"GUAPRT","guanine phosphoribosyltransferase","R01229","forward only","Irreversible "
"HXAND","hypoxanthine dehydrogenase","R01768","forward only","Irreversible "
"HXPRT","hypoxanthine phosphoribosyltransferase (Hypoxanthine)","R01132","forward only","Irreversible "
"INSH","Inosine hydrolase","R01770","forward only","Irreversible "
"NDPK1","nucleoside-diphosphate kinase (ATP:GDP)","R00330","reversible","Irreversible "
"NDPK2","nucleoside-diphosphate kinase (ATP:UDP)","R00156","reversible","Irreversible "
"NDPK3","nucleoside-diphosphate kinase (ATP:CDP)","R00570","reversible","Irreversible "
"NDPK4","nucleoside-diphosphate kinase (ATP:dTDP)","R02093","reversible","Irreversible "
"NDPK5","nucleoside-diphosphate kinase (ATP:dGDP)","R01857","reversible","Irreversible "
"NDPK6","nucleoside-diphosphate kinase (ATP:dUDP)","R02331","reversible","Irreversible "
"NDPK7","nucleoside-diphosphate kinase (ATP:dCDP)","R02326","reversible","Irreversible "
"NDPK8","nucleoside-diphosphate kinase (ATP:dADP)","R01137","reversible","Irreversible "
"NDPK9","nucleoside-diphosphate kinase (ATP:IDP)","R00722","reversible","Reversible "
"NNATr","nicotinate-nucleotide adenylyltransferase","R03005","forward only","Irreversible "
"NTD10e","5-nucleotidase (XMP)","R02719","forward only","Irreversible "
"NTD11e","5-nucleotidase (IMP)","R01126","forward only","Irreversible "
"NTD12e","5-nucleotidase (dIMP)","","forward only"," "
"NTD1e","5-nucleotidase (dUMP)","R02102","forward only","Irreversible "
"NTD2e","5-nucleotidase (UMP)","R00963","forward only"," "
"NTD3e","5-nucleotidase (dCMP)","R01664","forward only","Irreversible "
"NTD4e","5-nucleotidase (CMP)","R00511","forward only","Irreversible "
"NTD5e","5-nucleotidase (dTMP)","R01569","forward only","Irreversible "
"NTD6e","5-nucleotidase (dAMP)","R02088","forward only","Irreversible "
"NTD7e","5-nucleotidase (AMP)","R00183","forward only","Irreversible "
"NTD8e","5-nucleotidase (dGMP)","R01968","forward only","Irreversible "
"NTD9e","5-nucleotidase (GMP)","R01227","forward only","Irreversible "
"NTP1","nucleoside-triphosphatase (ATP)","R00086","forward only","Irreversible "
"NTP10","nucleoside-triphosphatase (ITP)","R00719","forward only","Irreversible "
"NTP3","nucleoside-triphosphatase (GTP)","R00335","forward only","Irreversible "
"NTP5","nucleoside-triphosphatase (CTP)","R00569","forward only","Irreversible "
"NTPP1","Nucleoside triphosphate pyrophosphorylase (dgtp)","R01855","forward only","Irreversible "
"NTPP10","Nucleoside triphosphate pyrophosphorylase (ditp)","R03531","forward only","Irreversible "
"NTPP11","Nucleoside triphosphate pyrophosphorylase (xtp)","R02720","forward only","Irreversible "
"NTPP2","Nucleoside triphosphate pyrophosphorylase (gtp)","R00426","forward only","Irreversible "
"NTPP3","Nucleoside triphosphate pyrophosphorylase (dctp)","R01668","forward only","Irreversible "
"NTPP4","Nucleoside triphosphate pyrophosphorylase (ctp)","R00515","forward only","Irreversible "
"NTPP5","Nucleoside triphosphate pyrophosphorylase (datp)","","forward only"," "
"NTPP6","Nucleoside triphosphate pyrophosphorylase (atp)","R00087","forward only","Irreversible "
"NTPP7","Nucleoside triphosphate pyrophosphorylase (dttp)","R11323","forward only"," "
"NTPP8","Nucleoside triphosphate pyrophosphorylase (utp)","R00662","forward only","Irreversible "
"NTPP9","Nucleoside triphosphate pyrophosphorylase (itp)","R00720","forward only","Irreversible "
"NTPTP1","Nucleoside triphosphate tripolyhydrolase","R01856","forward only","Irreversible "
"NTPTP2","Nucleoside triphosphate tripolyhydrolase","","forward only"," "
"PDE1","3,5-cyclic-nucleotide phosphodiesterase","R00191","forward only","Irreversible "
"PDE4","3,5-cyclic-nucleotide phosphodiesterase","R01234","forward only","Irreversible "
"PUNP1","purine-nucleoside phosphorylase (Adenosine)","R01561","reversible","Reversible "
"PUNP2","purine-nucleoside phosphorylase (Deoxyadenosine)","R02557","reversible","Reversible "
"PUNP3","purine-nucleoside phosphorylase (Guanosine)","R02147","reversible","Reversible "
"PUNP4","purine-nucleoside phosphorylase (Deoxyguanosine)","R01969","reversible","Reversible "
"PUNP5","purine-nucleoside phosphorylase (Inosine)","R01863","reversible","Reversible "
"PUNP6","purine-nucleoside phosphorylase (Deoxyinosine)","R02748","reversible","Reversible "
"PUNP7","purine-nucleoside phosphorylase (Xanthosine)","R02297","reversible","Irreversible "
"RNDR1","ribonucleoside-diphosphate reductase (ADP)","R02017","forward only","Irreversible "
"RNDR5","ribonucleoside-diphosphate reductase (ADP) (mycothiol)","","forward only"," "
"RNDR2","ribonucleoside-diphosphate reductase (GDP)","R02019","forward only","Irreversible "
"RNDR6","ribonucleoside-diphosphate reductase (GDP) (mycothiol)","","forward only"," "
"RNDR3","ribonucleoside-diphosphate reductase (CDP)","R02024","forward only","Irreversible "
"RNDR7","ribonucleoside-diphosphate reductase (CDP) (mycothiol)","","forward only"," "
"RNDR4","ribonucleoside-diphosphate reductase (UDP)","R02018","forward only","Irreversible "
"RNDR8","ribonucleoside-diphosphate reductase (UDP) (mycothiol)","","forward only"," "
"TMDK1","thymidine kinase (ATP:thymidine)","R01567","forward only","Irreversible "
"TMDPP","thymidine phosphorylase","R01570","reversible","Reversible "
"TMDSf","thymidylate synthase (Flavin-dependent)","","forward only"," "
"UMPK","UMP kinase","R00158","reversible","Irreversible "
"UPPRT","uracil phosphoribosyltransferase","R00966","forward only","Irreversible "
"XAND","xanthine dehydrogenase","R02103","forward only","Reversible "
"XTSNH","Xanthosine hydrolase","R02143","forward only","Irreversible "
"ATPS4r","ATP synthase (four protons for one ATP)","R00086","reversible","Irreversible "
"CYO2a","cytochrome bc1c complex (reductase, menaquinol: 2 protons)","","forward only"," "
"CYO2b","cytochrome aa3 oxidase (2 protons)","R00081","forward only","Irreversible "
"CYTBD2","cytochrome oxidase bd (menaquinol-9: 2 protons)","R09492","forward only"," "
"FRD8","fumarate reductase (menaquione-9)","","forward only"," "
"G3PD6","glycerol-3-phosphate dehydrogenase (menaquinone-9)","","forward only"," "
"L_LACD4","L-Lactate dehydrogenase (menaquinone)","","forward only"," "
"NADH10b","NADH dehydrogenase (menaquinone-9 & 0 protons)","R02964","forward only","Irreversible "
"NADH17b","NADH dehydrogenase (menaquinone-9 & 3 protons)","R02163","forward only","Irreversible "
"NADTRHD","NAD transhydrogenase","R00112","forward only","Irreversible "
"NTRIR2x","nitrite Reductase (NADH)","R00787","forward only"," "
"POX3","pyruvate oxidase","","forward only"," "
"PPK2r","polyphosphate kinase","","reversible"," "
"QMO3","quinol monooxygenase (menaquinol 9)","","forward only"," "
"SUCD3","succinate dehydrogenase (menaquione-9)","","forward only",""
"THD2","NAD(P) transhydrogenase","R00112","forward only","Irreversible "
"TRDR","thioredoxin reductase (NADPH)","R02016","forward only","Irreversible "
"EDA","2-dehydro-3-deoxy-phosphogluconate aldolase","R05605","forward only","Irreversible "
"FBA3","Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase","R01829","reversible","Reversible "
"G1Dx","glucose 1-dehydrogenase","R00300","forward only","Reversible "
"G6PDH2r","glucose 6-phosphate dehydrogenase","R00835","forward only"," "
"GLC15LACH","gluconolactonase","R01519","reversible","Irreversible "
"GND","phosphogluconate dehydrogenase (NADP)","R01528","reversible","Irreversible "
"GND2","phosphogluconate dehydrogenase (NAD)","R10221","forward only"," "
"PFK_3","phosphofructokinase (s7p)","R01843","forward only"," "
"PGL","6-phosphogluconolactonase","R02035","forward only","Irreversible "
"DX5PGLYCPL","phosphoketolase","R01621","forward only","Irreversible "
"RPE","ribulose 5-phosphate 3-epimerase","R01529","reversible","Reversible "
"RPI","ribose-5-phosphate isomerase","R01056","reversible","Reversible "
"TALA","transaldolase","R08575","reversible"," "
"TKT1","transketolase","R01641","reversible","Reversible "
"TKT2","transketolase","R01067","reversible","Reversible "
"MME","methylmalonyl-CoA epimerase","R02765","reversible","Reversible "
"MMM","methylmalonyl-CoA mutase","R00833","reversible","Reversible "
"MMSAD3","methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde)","R00705","forward only","Irreversible "
"MMTSAO","methylmalonate-semialdehyde dehydrogenase (methymalonate semialdehyde)","R00935","forward only","Irreversible "
"MMSAD5","methylmalonate-semialdehyde dehydrogenase (methymalonate semialdehyde, non-decarboxylating)","R03381","forward only"," "
"PPCOAC","propionyl-CoA carboxylase","R01859","forward only","Reversible "
"ADSL1r","adenylsuccinate lyase","R01083","reversible","Reversible "
"ADSL2r","adenylosuccinate lyase","R04559","reversible","Reversible "
"ADSS","adenylosuccinate synthase","R01135","forward only","Irreversible "
"AICART","phosphoribosylaminoimidazolecarboxamide formyltransferase","R04560","reversible","Reversible "
"AIRCr","phosphoribosylaminoimidazole carboxylase","R04209","reversible","Reversible "
"ASPCT","aspartate carbamoyltransferase","R01397","forward only","Reversible "
"CTPS1","CTP synthase (NH3)","R00571","forward only"," "
"CTPS2","CTP synthase (glutamine)","R00573","forward only","Irreversible "
"DHORD5","dihydroorotic acid (menaquinone-9)","","forward only"," "
"DHORTS","dihydroorotase","R01993","reversible","Reversible "
"GARFT","phosphoribosylglycinamide formyltransferase","R04325","reversible","Reversible "
"GLUPRT","glutamine phosphoribosyldiphosphate amidotransferase","R01072","forward only","Reversible "
"GMPS2","GMP synthase","R01231","forward only","Irreversible "
"IMPC","IMP cyclohydrolase","R01127","reversible","Reversible "
"IMPD","IMP dehydrogenase","R01130","forward only","Reversible "
"OMPDC","orotidine-5-phosphate decarboxylase","R00965","forward only","Irreversible "
"ORPT","orotate phosphoribosyltransferase","R01870","reversible","Reversible "
"PRAGSr","phosphoribosylglycinamide synthase","R04144","reversible","Irreversible "
"PRAIS","phosphoribosylaminoimidazole synthase","R04208","forward only","Irreversible "
"PRASCSi","phosphoribosylaminoimidazolesuccinocarboxamide synthase","R04591","forward only","Irreversible "
"PRFGS","phosphoribosylformylglycinamidine synthase","R04463","forward only","Irreversible "
"ACKr","acetate kinase","R00315","reversible","Reversible "
"ACS","acetyl-CoA synthetase","R00235","forward only","Irreversible "
"ALCD2x","alcohol dehydrogenase (ethanol)","R00754","reversible","Reversible "
"ALCD2y","alcohol dehydrogenase (ethanol, NADP)","R00746","reversible","Irreversible "
"LDH_D","D-lactate dehydrogenase","R00704","reversible"," "
"PC","pyruvate carboxylase","R00344","forward only","Irreversible "
"PTAr","phosphotransacetylase","R00230","reversible","Reversible "
"G3PCT","glycerol-3-phosphate cytidylyltransferase","R00856","forward only","Irreversible "
"TAGO","Tag O reaction for initiation of teichoic acid","","forward only"," "
"TECA1S","glycerol teichoic acid synthesis (no sub, n=25)","","forward only"," "
"TECA2S","glycerol techoic acid synthesis (D-ala, n=25)","","forward only"," "
"TECA3S","glycerol teichoic acid synthesis (n=25, glucose sub)","","forward only"," "
"2OXOADOX","2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating)","R01933","forward only"," "
"AOBUTDs","L-2-amino-3-oxobutanoate decarboxylation (spontaneous)","R03758","forward only","Irreversible "
"APTNAT","5-aminopentanoate:2-oxoglutarate aminotransferase","R02274","reversible","Reversible "
"ASAD","aspartate-semialdehyde dehydrogenase","R02291","reversible","Reversible "
"ASPK","aspartate kinase","R00480","reversible","Irreversible "
"DAPAT","Cadaverine aminotranferase","","forward only"," "
"DAPDC","diaminopimelate decarboxylase","R00451","forward only","Irreversible "
"DAPE","diaminopimelate epimerase","R02735","reversible","Reversible "
"DHDPRy","dihydrodipicolinate reductase (NADPH)","R04199","forward only","Irreversible "
"DHDPS","dihydrodipicolinate synthase","R10147","forward only","Irreversible "
"ECOAH1","3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)","R03026","reversible","Reversible "
"GLCOAS","glutaryl-CoA synthetase","R02402","forward only","Irreversible "
"GLUTCOADHc","glutaryl-CoA dehydrogenase (citosol)","R02487","forward only"," "
"HSDy","homoserine dehydrogenase (NADPH)","R01775","reversible","Irreversible "
"HSK","homoserine kinase","R01771","forward only","Irreversible "
"LYSDC","lysine decarboxylase","R00462","forward only","Irreversible "
"OXPTNDH","glutarate-semialdehyde:NAD+ oxidoreductase","R02401","reversible","Irreversible "
"PPRDNDH","Piperideine dehydrogenase","","forward only"," "
"SDPDS","succinyl-diaminopimelate desuccinylase","R02734","forward only","Irreversible "
"SDPTA","succinyldiaminopimelate transaminase","R04475","reversible","Reversible "
"THDPS","tetrahydrodipicolinate succinylase","R04365","forward only","Irreversible "
"THRA2i","L-allo-Threonine Aldolase","R06171","forward only","Irreversible "
"THRAi","Threonine aldolase","R00751","forward only","Irreversible "
"THRS","threonine synthase","R01466","forward only","Irreversible "
"14GLUCANabc","1,4-alpha-D-glucan transport via ABC system","","forward only"," "
"5DGLCNt2r","5-Dehydro-D-gluconate transport via proton symport, reversible","","reversible"," "
"5MTRt2","5-Methylthio-D-ribose transport via proton symport","","forward only"," "
"ABTabc","D-arabinitol transport via ABC system","","forward only"," "
"ABUTt2r","4-aminobutyrate transport in via proton symport","","forward only"," "
"ACALDt","acetaldehyde reversible transport","","reversible"," "
"ACGApts","N-Acetyl-D-glucosamine transport via PEP:Pyr PTS","","forward only"," "
"ACSERt","O-Acetyl-L-serine transport via facilitated transport","","reversible"," "
"ACt4","Na+/Acetate symport","","forward only"," "
"ACTt","actinorhodin transport via facilitated transport","","forward only"," "
"ADEt","adenine transport via proton symport (reversible)","","reversible"," "
"ADNt2","adenosine transport in via proton symport, reversible","","reversible"," "
"AKGt2r","2-oxoglutarate reversible transport via symport","","reversible"," "
"ALAabc","L-alanine transport via ABC system","","forward only"," "
"ALAALAabc","D-alanyl-D-alanine (DalaDala) transport via ABC system","","forward only"," "
"ALAt2r","L-alanine reversible transport via proton symport","","reversible"," "
"ALAt4","L-alanine transport in via sodium symport","","forward only"," "
"ALLTNt2r","allantoin transport in via proton symport","","reversible"," "
"ARBabc","L-arabinose transport via ABC system","","forward only"," "
"ARGabc","L-arginine transport via ABC system","","forward only"," "
"ARGAGMt7","Arginine/agmatine antiport","","reversible"," "
"ARGt3","L-arginine transport out via proton antiport","","forward only"," "
"ASNt2r","L-asparagine reversible transport via proton symport","","reversible"," "
"ASO3t8","arsenite efflux via ATP hydrolysis","","forward only"," "
"ASPabc","L-aspartate transport via ABC system","","forward only"," "
"ASPt2r","L-aspartate transport in via proton symport","","forward only"," "
"ASPt2_2","Aspartate transport via proton symport (2 H)","","forward only"," "
"BALAt2","beta-alanine transport in via proton symport","","forward only"," "
"BHBt","(R)-3-Hydroxybutanoate transport via proton symport","","reversible"," "
"BTNt2i","Biotin transport via proton symport","","forward only"," "
"CADVt","Lysine/Cadaverine antiporter","","forward only"," "
"CBIabc","Cobinamide transport via ABC system (uptake)","","forward only"," "
"CBL1abc","Cob(1)alamin transport via ABC system","","forward only"," "
"CDAabc","calcium-dependent antibiotics 2b transport via ABC system","","forward only"," "
"CELLBabc","cellobiose transport via ABC system","","forward only"," "
"CHLabc","choline transport via ABC system","","forward only"," "
"CHLt2","choline transport via proton symport","","forward only"," "
"CHTBSabc","chitobiose transport via ABC system","","forward only"," "
"CITt3","citrate transport out via proton antiport","","forward only"," "
"CITt7","Citrate transport via succinate antiport","","forward only"," "
"CO2t","CO2 transporter via diffusion","","reversible"," "
"CSNt2","cytosine transport in via proton symport","","forward only"," "
"CSNt2r","cytosine transport in via proton symport, reversible","","reversible"," "
"CYSabc","L-cysteine uptake via ABC system","","forward only"," "
"CYSabc2","L-cysteine export via ABC system","","forward only"," "
"CYSt","L-cysteine export via facilitated transport","","forward only"," "
"CYTDt2","cytidine transport in via proton symport, reversible","","reversible"," "
"DADNt2","deoxyadenosine transport in via proton symport","","forward only"," "
"DALAt2r","D-alanine transport in via proton symport","","forward only"," "
"DAPabc","M-diaminopimelic acid ABC transport","","forward only"," "
"DCYTt2","deoxycytidine transport in via proton symport","","forward only"," "
"DDGLCNt2r","2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible","","reversible"," "
"DGSNt2","deoxyguanosine transport in via proton symport","","forward only"," "
"DHAt","Dihydroxyacetone transport via facilitated diffusion","","reversible"," "
"DINSt2","deoxyinosine transport in via proton symport","","forward only"," "
"D_LACt2","D-lactate transport via proton symport","","reversible"," "
"DRIBt","deoxyribose transport via diffusion","","reversible"," "
"DURIt2","deoxyuridine transport in via proton symport","","forward only"," "
"EPMt2","epimelibiose transport in via symport","","forward only"," "
"ETHAt2","ethanolamine transport in via proton symport","","forward only"," "
"ETOHt","ethanol reversible transport via diffusion","","reversible"," "
"FALDt","formaldehyde transport via diffusion","","reversible"," "
"FORti","formate transport via diffusion","","forward only"," "
"FRUpts","D-fructose transport via PEP:Pyr PTS","","forward only"," "
"FUMt2_2","Fumarate transport via proton symport (2 H)","","forward only"," "
"GALCTNt2","D-galactonate transport via proton symport","","forward only"," "
"GALIt2","1-alpha-D-Galactosyl-myo-inositol transport in via symport","","forward only"," "
"GALt4","galactose transport via sodium symport","","forward only"," "
"GGLt2","galactosylglycerol transport in via symport","","forward only"," "
"GLCNt2r","D-gluconate transport via proton symport, reversible","","reversible"," "
"GLCRt2r","D-glucarate transport via proton symport, reversible","","reversible"," "
"GLCt2","D-glucose transport in via proton symport","","forward only"," "
"GLNabc","L-glutamine transport via ABC system","","forward only"," "
"GLUabc","L-glutamate transport via ABC system","","forward only"," "
"GLUt2r","L-glutamate transport via proton symport, reversible","","reversible"," "
"GLYALDt","Glyceraldehyde facilitated diffusion","","reversible"," "
"GLYBabc","Glycine betaine transport via ABC system","","forward only"," "
"GLYBt2r","Glycine betaine transport via proton symport","","forward only"," "
"GLYCAt2r","D-glycerate transport via proton symport, reversible","","reversible"," "
"GLYCLTt2r","glycolate transport via proton symport (irreversible)","","forward only"," "
"GLYCLTt4","glycolate transport via sodium symport","","forward only"," "
"GLYCt","glycerol transport via channel","","reversible"," "
"GLYt2r","glycine reversible transport via proton symport","","reversible"," "
"GLYt4","glycine transport in via sodium symport","","forward only"," "
"GSNt2","guanosine transport in via proton symport","","forward only"," "
"GUAt","Guanine transport via diffusion","","reversible"," "
"GUAt2r","guanine transport in via proton symport","","forward only"," "
"H2O2t","hydrogen peroxide transport via diffusion","","reversible"," "
"H2Ot","H2O transport via diffusion","","reversible"," "
"H2St1","h2s transport","","reversible"," "
"HISt2r","L-histidine reversible transport via proton symport","","reversible"," "
"HOMt2","L-homoserineserine efflux via proton symport","","forward only"," "
"IDONt2r","L-idonate transport via proton symport, reversible","","reversible"," "
"ILEabc","L-isoleucine transport via ABC system","","forward only"," "
"INDOLEt2r","Indole transport via proton symport, reversible","","reversible"," "
"INOSTt4","Na+/myo-inositol symporter","","forward only"," "
"INSt2","inosine transport in via proton symport, reversible","","reversible"," "
"LALADGLUt","L-alanyl-D-glutamate transport in via proton symport","","forward only"," "
"LCTSabc","Lactose transport via ABC system","","forward only"," "
"LEUabc","L-leucine transport via ABC system","","forward only"," "
"LIPOt2","Lipoate transport via proton symport","","forward only"," "
"L_LACt2r","L-lactate reversible transport via proton symport","","reversible"," "
"LYSabc","L-lysine transport via ABC system","","forward only"," "
"LYSt2r","L-lysine transport in via proton symport","","forward only"," "
"LYSt3r","L-lysine transport out via proton antiport","","forward only"," "
"LYXt2","L-Lyxose transport via proton symport","","forward only"," "
"MALt2_2","Malate transport via proton symport (2 H)","","forward only"," "
"MALt3","L-malate transport out via proton antiport","","forward only"," "
"MALTabc","maltose transport via ABC system","","forward only"," "
"MALTHXabc","maltohexaose transport via ABC system","","forward only"," "
"MALTPTabc","maltopentaose transport via ABC system","","forward only"," "
"MALTTRabc","Maltotriose transport via ABC system","","forward only"," "
"MALTTTRabc","maltotetraose transport via ABC system","","forward only"," "
"MANt2","D-mannose transport in via proton symport","","forward only"," "
"MELIBt2","melibiose transport in via symport","","forward only"," "
"MELTt2","melibiitol transport in via symport","","forward only"," "
"MEOHtr","Methanol reversible transport via diffusion","","reversible"," "
"METabc","L-methionine transport via ABC system","","forward only"," "
"MNLabc","mannitol transport via ABC system","","forward only"," "
"MNt2","manganese (Mn+2) transport in via proton symport","","forward only"," "
"N2Ot","nitrious oxide transport via diffusion","","reversible"," "
"NACt","Nicotinic acid uptake","","forward only"," "
"NMNP","NMN permease","","forward only"," "
"ORNabc","ornithine transport via ABC system","","forward only"," "
"OROTt2_2","Orotate transport via proton symport (2 H)","","forward only"," "
"PACALDt2r","phenylacetaldehyde reversible transport via proton symport","","reversible"," "
"PHEt2r","L-phenylalanine reversible transport via proton symport","","reversible"," "
"PNTOt4","Pantothenate sodium symporter","","forward only"," "
"PPAt4","Na+/Propionate symporter","","forward only"," "
"PROabc","L-proline transport via ABC system","","forward only"," "
"PROt2r","L-proline reversible transport via proton symport","","reversible"," "
"PROt4","Na+/Proline-L symporter","","forward only"," "
"PTRCabc","putrescine transport via ABC system","","forward only"," "
"PTRCt2","putrescine transport in via proton symport","","forward only"," "
"PYDAMt","pyridoxamine import","","forward only"," "
"PYDXNt","pyridoxine import","","forward only"," "
"PYDXt","pyridoxal import","","forward only"," "
"PYRt2","pyruvate reversible transport via proton symport","","reversible"," "
"RAFFINt2","raffinose transport in via symport","","forward only"," "
"RIBabc","D-ribose transport via ABC system","","forward only"," "
"RMNabc","L-rhamnose transport via ABC system","","forward only"," "
"SALCpts","salicin transport via PEP:Pyr PTS","","forward only"," "
"SBTabc","D-sorbitol transport via ABC system","","forward only"," "
